matched_company_candidate,matched_brand,query_category,observed_market_region_codes,candidate_product_count,example_product_names
The Coca-Cola Company,Sprite,beverages,FRANCE,11,Sprite | Sprite | Sprite | Sprite | Sprite Citron - Citron vert
Nestle,Gourmet,snacks,UK_IE,10,Gourmet Crackers | Gourmet Gummy Candy | Gourmet Jelly Beans | Gourmet Rosemary Crackers | Gourmet Salt & Pepper Crackers 185g
Nestlé,DiGiorno,dairies,US_CANADA,10,"Digiorno, parmesan grated parmesan cheese | Digiorno, romano cheese | Digiorno, shaved parmesan cheese | Digiorno, shredded asiago medium cheese | Digiorno, shredded parmesan cheese"
Smarties Candy Company (US),Smarties,snacks,US_CANADA,10,"Smarties Candy | Smarties Candy, Smarties | Smarties candies | Smarties candy | Smarties candy"
The Coca-Cola Company,Fanta,beverages,FRANCE,10,Fanta | Fanta 1L | Fanta Lattina CL. 33 | Fanta Orange Soda Caffeine Free | Fanta ananas 50 cl
The Hershey Company,Reese's,snacks,FRANCE,10,Reese's | Reese's NUTRAGEOUS | Reese's Nutrageous | Reese's Nutrageous | Reese's Peanut Butter Bar
Nestlé,Impact,dairies,FRANCE,9,"Impact Native Whey | Impact Whey Isolate , Rocky Road | Impact Whey Isolate Chocolat Beurre de cacahuète | Impact Whey Isolate Salted Caramel | Impact Whey Isolate Vanille"
PepsiCo,Tostitos,snacks,US_CANADA,9,Tostitos Bite Size Rounds | Tostitos Bite Size Tortilla Chips 13 Ounce Plastic Bag | Tostitos Cantina Traditional Tortilla Chips 20 Ounce Plastic Bag | Tostitos Crispy Rounds Tortilla Chips 13 Ounce Plastic Bag | Tostitos Multigrain Tortilla Chips 9 Ounce Plastic Bag
Nestle,Nescafé,beverages,FRANCE,8,Nescafe 3 In 1 Sekerli / 3 In 1 Original | Nescafe 3in1 Original 15GR | Nescafe Ginseng | Nescafe Original | Nescafe special filtre décaféiné
Nestlé,Boost,beverages,FRANCE,8,Boost | Boost CURCUMA | Boost GINGEMBRE | Boost et moi | Boost framboise piment
Nestlé,Corn Flakes,cereals,UK_IE,8,CORN FLAKES | Corn Flakes | Corn Flakes | Corn Flakes gluten free imp | Corn flakes
PepsiCo,Gatorade,beverages,US_CANADA,8,"Gatorade | Gatorade | Gatorade, g2, thirst quencher, tropical blend, tropical blend | Gatorade, thirst quencher, frost orange strawberry, frost orange strawberry | Gatorade, thirst quencher, grape"
PepsiCo,Pepsi,beverages,UK_IE,8,Pepsi Electric | Pepsi Max | Pepsi Max | Pepsi Max | Pepsi Max Caffeine Free
PepsiCo,Walkers,snacks,US_CANADA,8,"Walkers pure butter shortbread rounds traditional | Walkers, Extremely Chocolatey Cookie | Walkers, Extremely Gingery Cookie | Walkers, Festive Shapes Pure Butter Shortbread | Walkers, Milk Chocolate"
The Hershey Company,Reese's,cereals,US_CANADA,8,REESE'S PUFFS | Reese's Puffs Bats Cereal | Reese's Puffs Bunnies | Reese's Puffs Cereal | Reese's Puffs Hearts Cereal
Cereal Partners Worldwide,Fitness,beverages,US_CANADA,7,Fitness Water | Fitness Water | Fitness Water | Fitness hydration beverages | Fitness tea
Danone,Blédina,dairies,FRANCE,7,BLEDINA BLEDIDEJ Saveur Pain au Chocolat 4x250ml Dès 9 Mois | BLEDINA BLEDINER BRIQUES Carottes petits pois 2X250 ML Dès 12 mois | BLEDINA BLEDINER BRIQUES Epinards 2x250ml Dès 6 mois | BLEDINA LES MINI LACTES 6x55g Banane dès 6 mois | Blédina Gourdes lactées 4x85g Exotiques/Fruits rouges 10 mois
Danone,Danone,dairies,FRANCE,7,DANONE ULTRA MEL | Danone Nature | Danone Vitasnella Peach X2 | Danone jus | Danone veloute fruix jaunes 125 g x 8
Keurig Dr Pepper,Schweppes,beverages,US_CANADA,7,"Schweppes, diet ginger ale | Schweppes, diet ginger ale, raspberry, raspberry | Schweppes, soda, dark ginger ale | Schweppes, sparkling seltzer water, cranberry lime | Schweppes, sparkling seltzer water, orange"
Kraft Heinz,Wyler's,beverages,US_CANADA,7,"Wyler's Light Peach Iced Tea | Wyler's light, low calorie drink mix, tropical punch | Wyler's light, low colorie soft drink, iced tea with peach | Wyler's, Soft Drink Mix, Tropical Punch | Wyler's, light low calorie drink mix, cherry, limeade"
Liptea / Ekaterra,PG Tips,beverages,FRANCE,7,PG Tips Decaf 80S Pyramid Teabags | PG Tips Original 200 Tea Bags | PG Tips Original Tea | PG Tips Original Tea Bags | PG Tips Pyramid Tea Bags X160
Nestle,Nescafé,beverages,US_CANADA,7,"Nescafe Gold | Nescafe Gold | Nescafe Tarik | Nescafe cafe con leche | Nescafe, coffee mate, coffee and sweetened creamer"
Nestle,Nespresso,beverages,FRANCE,7,Nespresso | Nespresso | Nespresso 2014 New Autumn Limited Edition 5 Sleeves: Cubanía | Nespresso Decaffeinato Intenso | Nespresso Decaffeinato intenso
Nestle,Perrier,beverages,US_CANADA,7,"Perrier, sparkling mineral water, lime | Perrier, sparkling natural mineral water | Perrier, sparkling natural mineral water | Perrier, sparkling natural mineral water, green apple | Perrier, sparkling natural mineral water, lemon"
PepsiCo,7UP,beverages,FRANCE,7,"7UP | 7UP saveur citron & citron vert 33 cl | 7UP saveur mojito citron vert & menthe 1,5 L | 7up | 7up"
PepsiCo,Mirinda,beverages,FRANCE,7,Mirinda | Mirinda Gout Fraise | Mirinda framboise | Mirinda green apple | Mirinda orange 1L
PepsiCo,Mountain Dew,beverages,US_CANADA,7,Mountain Dew | Mountain Dew Baja Blast 5 Gallon Bag In Box | Mountain Dew Code Red | Mountain Dew Code Red Soda 12 Fluid Ounce Aluminum Can | Mountain Dew Live Wire 12 Fluid Ounce Aluminum Can
Danone,Danette,dairies,FRANCE,6,Danette Yogurt Vanilla | Danette flan vanille | Danette le liégeois | Danette saveur cannelé | Danette saveur chocolat noisette 125 g x 4 prix choc
General Mills,Cheerios,cereals,US_CANADA,6,Cheerios | Cheerios Cereal | Cheerios Cereal-on-the-Go Pouch | Cheerios Protein Oats and Honey Cereal | Cheerios and Ancient Grains Cereal
Nestle,Gourmet,cereals,FRANCE,6,Gourmet Classic Granola | Gourmet Granola Mélange Chocolatier | Gourmet Granola Mélange De Céréales Divin | Gourmet Granola Vitalité | Gourmet granola
Nestle,Nescafé,beverages,UK_IE,6,Nescafe 2in1 | Nescafe Double Choc Mocha | Nescafe Original | Nescafé | Nescafé Original
Nestle,Perrier,beverages,FRANCE,6,Perrier | Perrier | Perrier | Perrier Jouet Sparkling Bell Champ Epq Brut | Perrier fines bulles
Nestlé,Beyond,snacks,US_CANADA,6,"Beyond Bacon Sprouted Protein Snack | Beyond Churros Original Cinnamon Flavored | Beyond Good!, Potato Chips, Cheddar | Beyond Good!, Uncle Ray's, Potato Chips, Sour Cream & Onion | Beyond Jerky Original"
PepsiCo,Doritos,snacks,FRANCE,6,Doritos | Doritos | Doritos | Doritos Cool Original Tortilla Chip Crisps 30G | Doritos pure paprika flavour
Cereal Partners Worldwide,Chocapic,snacks,FRANCE,5,CHOCAPIC Céréales (6x30g) MIX | Chocapic | Chocapic | Chocapic Barres | Chocapic barre
Danone,Activia,dairies,FRANCE,5,Activia | Activia Nature | Activia Noix Pavot | Activia low fat | Activia low fat plain
Nestlé,Hépar,beverages,BENELUX|FRANCE,5,HEPAR | Hépar | Hépar | Hépar /Eau minéral naturel /mini dose | hepar
Nestlé,Impact,beverages,FRANCE,5,"Impact Diet Whey,Café Latte | Impact Whey Protein - 1000G - Schokolade-karamell | Impact Whey Protein, Coffee Caramel | Impact de balle energy drink | Impact whey protein milk tea blend"
PepsiCo,Cheetos,snacks,FRANCE,5,Cheetos | Cheetos Crunchy Fromage | Cheetos Original Gout Fromager | Cheetos XXTRA Flamin' Hot Crunchy | cheetos
PepsiCo,Lay's,snacks,FRANCE,5,Lay's gourmet | Lay’s forno authentic cheese | Lay’s forno black pepper | Lay’s salt and vinegar | lay's
PepsiCo,Walkers,snacks,UK_IE,5,WALKERS W wotsits CRUNCHY Flamin Hot FLAVOUR CORN | WALKERS max sizzling flame steak | Walkers Bacon Frazzles 6pk | Walkers Smoky Bacon Crisps | walkers ready salted crisps
The Hershey Company,Ice Breakers,snacks,US_CANADA,5,Ice Breakers Cherry Limeade | Ice Breakers Ice Cubes | Ice Breakers Mints | Ice Breakers Sours Mixed Berry | Ice breakers ice cubes cherry limeade
Unilever,Carte d'Or,snacks,FRANCE,5,Carte D'or Bûche Glacée Café Chocolat Vanille 1l | Carte D'or Collection Buche Glacée Façon Crème Brûlée 9 parts 900ml | Carte D'or Inspiration Buche Glacée Caramel Guimauve 8 Parts 750ml | Carte D'or Inspiration Buche Glacée Fruits Rouges Façon Vacherin 8 parts 750ml | Carte d'or selection Tiramisu
Danone,Evian,beverages,FRANCE,4,Evian fruits et plantes | Evian infused kusmi tea | Evian infused kusmi tea thé blanc aromatisé pêche et violette | Evian sparkling
Nestle,Gourmet,snacks,FRANCE|SOUTHERN_EUROPE,4,Gourmet | Gourmet Wafer Mix | Gourmet black liquorice | Gourmet chocolate intense
Nestlé,Carnation,beverages,US_CANADA,4,"Carnation breakfast essentials, complete nutrition drink mix, dark chocolate | Carnation breakfast essentials, complete nutrition drink, classic french vanilla | Carnation breakfast essentials, complete nutritional drink, rich milk chocolate | Carnation breakfast essentials, powder drink mix, classic chocolate malt, classic chocolate malt"
Nestlé,Chef,snacks,US_CANADA,4,"Chef Benebueno Confections, Cookies, Tropical Fruit | Chef Pierre cinnamon pecan coffee cake muffin | Chef crafted flatbread crisps | Chef-driven caramels"
Nestlé,Corn Flakes,cereals,FRANCE|US_CANADA,4,Corn flakes | Corn flakes | Corn flakes cereal | corn flakes
Nestlé,La Vie,beverages,FRANCE,4,La Vie En Orange | La vie eau minerale | La vie en rose | La vie on y est
Nestlé,Orgain,beverages,US_CANADA,4,"Orgain Kids Protein | Orgain, Organic Hydration Powder, Orange | Orgain, organic hydration powder | Orgain, organic protein nutritional shake"
Nestlé,Ovaltine,beverages,US_CANADA,4,"Ovaltine, classic malt drink mix | Ovaltine, drink mix, classic malt | Ovaltine, malt drink mix, chocolate | Ovaltine, malted milk drink mix"
PepsiCo,Mountain Dew,beverages,FRANCE,4,Mountain DEW | Mountain Dew | Mountain dew | Mountain dew kickstart pineapple orange mango
The Coca-Cola Company,Diet Coke,beverages,UK_IE,4,Diet Coke Twisted Strawberry | Diet coke | Diet coke | Diet coke Kate Moss
The Coca-Cola Company,SmartWater,beverages,US_CANADA,4,SmartWater+ Tranquility Ashwaganda Tangerine Extract | Smartwater | Smartwater alkaline | Smartwater passionfruit mango
The Hershey Company,Jolly Rancher,beverages,US_CANADA,4,"Jolly rancher, drink mix, green apple unsweetened | Jolly rancher, soda, blue raspberry, blue raspberry | Jolly rancher, soda, cherry | Jolly rancher, sugar free drink mix, lemon"
The Hershey Company,Rolo,snacks,US_CANADA,4,"Rolo | Rolo Candy Cane | Rolo chewy caramels in milk chocolate | Rolo, chewy caramel in milk chocolate"
Unilever,Ben & Jerry's,dairies,US_CANADA,4,"Ben & jerry's, froyo, low fat frozen yogurt, chocolate fudge brownie | Ben & jerry's, greek, frozen yogurt, blueberry vanilla graham | Ben & jerry's, greek, frozen yogurt, raspberry fudge chunk | Ben & jerry's, greek, frozen yogurt, strawberry shortcake"
Capri Sun Group / Coca-Cola Europacific Partners,Capri Sun,beverages,FRANCE,3,Capri Sun Fruit Crush Tropical 75%jce | Capri Sun Mango & Passionfruit Sports Cap | Capri Sun multivitamine poche
Cereal Partners Worldwide,Fitness,snacks,FRANCE|SOUTHERN_EUROPE,3,Fitness | Fitness Delice | fitness
Cereal Partners Worldwide,Fitness,snacks,BENELUX|FRANCE,3,Fitness | Fitness Chocolat | Fitness Tiramisu
Danone,Blédina,snacks,FRANCE,3,BLEDINA Les recoltes Bio Mon 1er Biscuit Vanille 150 g dès 12 mois | BLEDINA Mon Premier Petit Beurre 133g dès 12 mois | Bledina mon premier boudoir
Danone,Dannon,dairies,US_CANADA,3,"Dannon LF Coffee Yogurt; 5.3 oz | Dannon, danimals, smoothie, frosty marshmallow, frosty marshmallow | Dannon, oikos, nonfat yogurt drink, blueberry acai"
Danone,Oikos,dairies,US_CANADA,3,OIKOS REMIX | Oikos 0% greek yogurt 30% less sugar | Oikos triple zero
Froneri,Drumstick,snacks,UK_IE,3,Drumstick Squashies | Drumstick Squashies Bubblegum Flavour | Drumstick Squashies sour cherry & apple flavour
Froneri,Extrême,beverages,US_CANADA,3,Extreme Energy Fruit Smoothie | Extreme Milk Chocolate 100% Whey | Extreme fusion waters beverage
Froneri,Extrême,snacks,FRANCE,3,Extreme Framboise Brownie x6 | Extreme cookies | Extreme cookies con pezzi di cioccolato al latte e fondente
Liptea / Ekaterra,PG Tips,beverages,UK_IE,3,PG tips | PG tips plus | PG tips tasty decaf
Liptea / Ekaterra,PG Tips,beverages,US_CANADA,3,"Pg Tips, Pyramid Tea Bags, Black Tea | Pg tips, pyramid teabags | Pg tips, pyramid teabags"
Nestle,Gourmet,snacks,FRANCE|UK_IE,3,Gourmet Jelly Beans | Gourmet Popcorn Salted caramel | Gourmet Rice Snacks - Sweet Chilli Flavour
Nestle,Gourmet,dairies,UK_IE,3,Gourmet Passion Fruit Yoghurt | Gourmet Raspberry | Gourmet golden mango
Nestle,KitKat,snacks,FRANCE,3,KITKAT Tablette noisette 99g | Kitkat White Wafers | Kitkat white
Nestlé,Baci Perugina,snacks,US_CANADA,3,"Baci, perugina, dark chocolate with whole and chopped hazelnut | Baci, perugina, dark chocolate with whole and chopped hazelnuts | Baci, perugina, premium hazelnut candy, milk chocolate"
Nestlé,Boost,beverages,UK_IE,3,Boost | Boost Dilute | Boost Sport citrus
Nestlé,Buxton,beverages,UK_IE,3,BUXTON SPARKLING WATER | Buxton brewery King slayer | Buxton mineral water
Nestlé,Corn Flakes,cereals,FRANCE|DACH,3,"CORN FLAKES | Corn Flakes, Ohne Zuckerzusatz | Corn flakes"
Nestlé,Corn Flakes,cereals,BENELUX|FRANCE,3,Corn Flakes | Corn Flakes 8 Vitamines | Corn flakes sans sucres ajoutés
Nestlé,Essentia,beverages,US_CANADA,3,"Essentia Ionized Alkaline | Essentia water liter bottles pack ionized | Essentia water, overachieving h2o"
Nestlé,Hépar,beverages,FRANCE,3,Hépar | Hépar | Hépar
Nestlé,Impact,dairies,UK_IE,3,Impact Isolate Whey Protein Salted Caramel | Impact Whey Proteim | Impact Whey Protein
Nestlé,Milo,beverages,US_CANADA,3,"Milo's Cafe Style, Organic Light Sweet Tea | Milo's, Sweet Tea | Milo’s peach tea"
The Coca-Cola Company,Coca-Cola,beverages,FRANCE|DACH,3,Coca Cola Life | Coca-Cola Zero | coca cola classic
The Coca-Cola Company,Coca-Cola,beverages,UK_IE,3,Coca-Cola | Coca-Cola Original Taste | Coca-cola Zero Lemon
The Coca-Cola Company,Coca-Cola,beverages,BENELUX|FRANCE,3,Coca-Cola Zero Caféine | Coca-Cola original taste | Coca-cola zéro
The Coca-Cola Company,Fanta,beverages,US_CANADA,3,"Fanta orange added flavors can 300ml | Fanta, beverage mix, orange, orange | Fanta, soda, raspberry & passionfruit"
The Coca-Cola Company,VitaminWater,beverages,US_CANADA,3,Vitaminwater | Vitaminwater Zero Sugar Orange Rise | vitaminwater
The Hershey Company,Hershey's Chocolate,snacks,US_CANADA,3,"Hershey's chocolate bar | Hershey's, chocolate | Hershey's, chocolate cake"
The Hershey Company,KitKat,snacks,US_CANADA|FRANCE,3,KitKat Gold | KitKat Mega (2 bars) | Kitkat chunky popcorn
The Hershey Company,Reese's,snacks,FRANCE|US_CANADA,3,Reese's Miniature Cups Milk Chocolate & Peanut Butter | Reese's Pieces | Reese's Puffs Treats
The Hershey Company,Reese's,snacks,UK_IE,3,Reese’s Peanut Butter Cups | Reese’s Peanut Butter Cups Miniature | Reese’s Pieces Egg
Unilever,Cornetto,snacks,FRANCE|SOUTHERN_EUROPE,3,Cornetto | Cornetto classico | Cornetto grano khorasan
Unilever,Cornetto,snacks,FRANCE,3,Cornetto Cilliegia | Cornetto frutti di bosco | Cornetto semplice senza farcitura
Cereal Partners Worldwide,Fitness,snacks,BENELUX|FRANCE|SOUTHERN_EUROPE,2,FITNESS CHOC Barres Céréale 6x23.5g | Fitness breakfast cereal bar pêches et abricot
Danone,Actimel,dairies,FRANCE,2,Actimel | Actimel système immunitaire
Danone,Activia,dairies,US_CANADA,2,Activia Probiotic Smoothie Strawberry | Activia yogurt
Danone,Badoit,beverages,FRANCE,2,Badoit bulles de fruits | Badoit rouge
Danone,Light + Fit,dairies,US_CANADA,2,Light + fit | light+fit peach
Danone,Volvic,beverages,FRANCE|DACH,2,"Volvic 0,5 x 6 | Volvic Touch"
General Mills,Cheerios,cereals,US_CANADA|FRANCE,2,Cheerios | Cheerios au miel et aux noix
General Mills,Cheerios,cereals,FRANCE|US_CANADA,2,Cheerios Cereal Singlepak | Cheerios Oat Crunch Cinnamon
Keurig Dr Pepper,Dr Pepper,snacks,US_CANADA,2,"Dr pepper, gummy candies | Dr pepper, soft chewy twisted candy bites"
Kraft Heinz,Maxwell House,beverages,US_CANADA,2,"Maxwell House | Maxwell House Beverage Mix Cafe-style, Cinnamon Spice 9."
Nestle,Gourmet,dairies,FRANCE,2,Gourmet Mango | Gourmet Mango Yoghurt
Nestle,Nespresso,beverages,FRANCE|DACH,2,Nespresso - Cinnamon And Candied Tamarind | Nespresso - Sweet Almond And Hibiscus
Nestle,S.Pellegrino,beverages,US_CANADA,2,"S. Pellegrino | S. Pellegrino, Sparkling Natural Mineral Water"
Nestlé,Acqua Panna,beverages,FRANCE|SOUTHERN_EUROPE,2,Acqua PANNA Toscana | Acqua Panna
Nestlé,Acqua Panna,beverages,US_CANADA,2,"Acqua Panna | Acqua Panna, Natural Spring Water"
Nestlé,Acqua Panna,beverages,FRANCE,2,Acqua Panna | Acqua Panna Natural Mineral Water Bottle (500 ML)
Nestlé,Aero,snacks,UK_IE,2,Aero Chocolate Mini Eggs | aero chocolate
Nestlé,Chef,dairies,US_CANADA,2,"Chef Stephen, Habanero Cheddar Cheese Dip, Hot | Chef's Blend Shredded Cheese Thick Cut"
Nestlé,Chef,dairies,FRANCE,2,Chef la vache QUI rit | Chef la vache qui rit
Nestlé,Hépar,beverages,FRANCE|DACH,2,HEPAR eau minérale naturelle 50cl | Hépar
Nestlé,La Vie,beverages,US_CANADA,2,La vie sparkling water | La vie sparkling water
Nestlé,Munch,snacks,US_CANADA,2,"Munch real, candy cookies | Munch real, chocolate fudge biscotti"
Nestlé,Nestea,beverages,FRANCE,2,"Nestea bio thé noir saveur pêche blanche | Nestea peach, Dolce Gusto"
Nestlé,Nido,dairies,FRANCE,2,Nido | Nido Milk Powder Fortified
Nestlé,Sanpellegrino,beverages,FRANCE,2,SANPELLEGRINO ARANCIATA | Sanpellegrino-lemon Soda-330ml-italy
PepsiCo,Doritos,dairies,US_CANADA,2,Doritos | Doritos Organic White Cheddar Tortilla Chips
PepsiCo,Fritos,snacks,FRANCE,2,Fritos | Fritos ketchup taste
PepsiCo,Pepsi,beverages,US_CANADA,2,Pepsi | Pepsi cola 2.43 liter
PepsiCo,Pepsi,beverages,FRANCE|DACH,2,Pepsi Dose | Pepsi Max Cherry
PepsiCo,Quaker Oats,cereals,US_CANADA,2,Quaker Oats | Quaker oats
PepsiCo,Ruffles,snacks,FRANCE,2,Ruffles | Ruffles Potato Chips Reduced Fat
PepsiCo,Tostitos,snacks,FRANCE,2,Tostitos | Tostitos Original Restaurant Style Chips
Suntory Beverage & Food,Schweppes,beverages,BENELUX|FRANCE,2,"SCHWEPPES AGRUMES ZERO 1,5L | schweppes Indian tonic"
Suntory Beverage & Food,Schweppes,beverages,UK_IE,2,Schweppes | Schweppes slimline lemonade
Suntory Beverage & Food,Schweppes,beverages,FRANCE,2,"Schweppes agrumes aux saveurs d'orange,🍊de pamplemousse, de citron vert & de mandarine | Schweppes lemon"
The Coca-Cola Company,Costa Coffee,beverages,UK_IE,2,Costa Coffee | Costa coffee
The Coca-Cola Company,Diet Coke,beverages,FRANCE|UK_IE,2,Diet Coke | Diet Coke No Caffeine
The Coca-Cola Company,Dr Pepper,beverages,UK_IE,2,Dr Pepper Zero | Dr pepper
The Coca-Cola Company,Fuze Tea,beverages,FRANCE,2,Fuze Tea Peach | Fuze Tea pêche
The Coca-Cola Company,Sprite,beverages,US_CANADA,2,Sprite | Sprite Zero sugar Lemon-Lime
The Coca-Cola Company,VitaminWater,beverages,FRANCE,2,Vitaminwater | Vitaminwater
The Hershey Company,Kisses,snacks,FRANCE,2,Kisses | kisses cookies 'n' creme
The Hershey Company,KitKat,snacks,US_CANADA,2,"Kitkat | Kitkat, crisp wafers in milk chocolate"
The Hershey Company,PayDay,snacks,US_CANADA,2,PAYDAY Peanut Caramel Bar | Payday
The Hershey Company,Reese's,cereals,FRANCE|SOUTHERN_EUROPE|US_CANADA,2,Reese's Puffs | Reese's Puffs Cereal
Associated British Foods,Ovaltine,beverages,UK_IE,1,Ovaltine
Capri Sun Group / Coca-Cola Europacific Partners,Capri Sun,beverages,FRANCE|DACH|SOUTHERN_EUROPE,1,Capri-Sun Mango & Maracuyá
Capri Sun Group / Coca-Cola Europacific Partners,Capri Sun,beverages,FRANCE|DACH,1,Capri-sun
Cereal Partners Worldwide,Cheerios,cereals,FRANCE,1,Cheerios 4 Whole Grains
Cereal Partners Worldwide,Cheerios,cereals,UK_IE,1,cheerios
Cereal Partners Worldwide,Chocapic,cereals,FRANCE|SOUTHERN_EUROPE,1,Chocapic Choco Crush
Cereal Partners Worldwide,Chocapic,snacks,FRANCE|SOUTHERN_EUROPE,1,Chocapic 🍫 strong In Chocolaté 🍫
