country_or_market,observed_market_region_codes,category,raw_brand_variants,normalized_brand_candidate,total_product_count,example_product_names,alias_review_decision,approved_normalized_brand,review_reason,mapping_source
France,FRANCE,snacks,sondey; lidl sondey; sondey lidl,sondey,284,Biscuits doré extra | Mini fourrés cœur chocolat | Domino choco | Biscuits au Choco nussa | BIO Mini lunettes,approve_alias,sondey,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=83
France,FRANCE,dairies,milbona; lidl milbona; milbona lidl,milbona,281,Parmiggiano reggiano DOP râpé | Fromage à tartiner ail et fines herbes | Créfé Ail & Fines Herbes | TIRAMISÙ | Mousse à la liégeoise chocolat,approve_alias,milbona,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=61
France,FRANCE,dairies,envia; envia lidl; lidl envia,envia,275,Hey - Yaourt à boire sucré saveur vanille | Crème dessert chocolat | Crème légère 18% semi-épaisse | Yaourt bio fraise | L'onctueux et lit de framboise,approve_alias,envia,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=45
United States,US_CANADA,snacks,great value; great value butter milk waffle; great value cruchy potato chips,great value,255,"Pretzel balls, parmesan garlic | Sea Salt Pita Crackers | Original potato chips | Buttermilk Biscuits | Kettle cooked mesquite bbq flavored chips",approve_alias,great value,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=2
France,FRANCE,dairies,marque repere les croises; marque repere; marque repere leclerc; marque repere delisse,marque repere,250,Creme legere | Fromage blanc | Camembert Les Croisés | Emmental | Emmental Bio,approve_alias,marque repere,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=223
United States,US_CANADA,cereals,general mills; general mill's; general mills inc,general mills,242,Lucky Charms | Chex Cinnamon gluten free | Total raisin bran cereal | Cinnamon Toast Crunch Cereal | Lucky Charms Cereal,approve_alias,general mills,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=1; brand_alias_mapping=1
France,FRANCE,beverages,kusmi tea; kusmi-tea,kusmi tea,241,Sweet love | Boost | detox aromatisé citron | detox | Thé vert BB detox,approve_alias,kusmi tea,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
France,FRANCE,dairies,franprix; franprix bio,franprix,239,Gouda Cumin | Beaufort | Yaourt à la grecque sur lit de miel | Beaufort au lait cru | Beaufort au Lait Cru,approve_alias,franprix,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=8
United Kingdom,UK_IE,snacks,walkers; walker's; walkers sensations; walkers max; walkers crisps; walkers crinkles; walkers nonsuch; walkers quavers,walkers,239,Shortbread Fingers | Oat Shortbread | Wee Shorties | walkers | Cheese and onion,approve_alias,walkers,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=10; heuristic=4
France,FRANCE,beverages,paquito; paquito intermarche,paquito,229,Jus d'orange | Sirop de menthe | Jus de raisin | Sirop de grenadine | 100% jus d’orange,approve_alias,paquito,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=5
United States,US_CANADA,dairies,chobani; chobani flip; chobani inc; chobani llc; chobani zero sugar; chobani creations; chobani simply 100,chobani,226,greek yogurt | Greek Yogurt Peach on the Bottom | Mango | Greek yogurt strawberry | Flip Greek Yogurt Cookies & Cream,approve_alias,chobani,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=36
France,FRANCE,snacks,franprix; franprix bio,franprix,223,Cookies aux pépites de chocolat | Tortillas | Chocolat Lait aux noisettes entières | Chocolat noir aux noisettes entières torréfiées | Le chocolat noir aux noisettes entières,approve_alias,franprix,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=8
France,FRANCE,beverages,teisseire; teisseire cola; teisseire zero,teisseire,221,Sirop Pêche | Sirop de grenadine | sirop de fraise bio | Grenadine | Sirop grenadine,approve_alias,teisseire,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=3
United States,US_CANADA,beverages,gatorade; gatorade zero; gatorade frost; gatorade drink; gatorade frost crisp and cool; gatorade low sugar orange; gatorade thirst quencher; gatorade water,gatorade,220,"Berry Zero Sugar | Grape Electrolyte Water Beverage | Gatorade Thirst Quencher Lemon Lime | Thirst quencher | Arctic blitz crisp & cool thirst quencher, arctic blitz",approve_alias,gatorade,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=11
France,FRANCE,beverages,solevita; lidl solevita; solevita lidl; solevita - lidl,solevita,213,Jus de pomme | jus de cramberry | Jus d'orange | Jus de Tomate | CRANBERRY,approve_alias,solevita,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=36; brand_alias_mapping=1
United States,US_CANADA,beverages,great value; great value organic; great value sport,great value,212,"Hydrate Alkaline Water | Cream Soda | Purified drinking water | Great value, drink mix, strawberry watermelon | 100% orange juice",approve_alias,great value,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=2
United States,US_CANADA,snacks,doritos; doritos dinamita chile limon; doritos flamin hot,doritos,208,"Doritos | Flavored Tortilla Chips, Hot | Jumpin' Jack Cheese Flavored Tortilla Chips, Jumpin' Jack Cheese | Wasabi Flavored Tortilla Chips, Wasabi | Doritos Nacho Cheese",approve_alias,doritos,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=2
United States,US_CANADA,dairies,kraft; kraft singles; kraft heinz; kraft cheese; kraft deli deluxe; kraft cheez whiz; kraft foods; kraft natural cheese; kraft signature; kraft signature natural cheese,kraft,204,"Colby Natural Cheese, Colby | Kraft, Natural Pepper Jack Cheese | Mozzarella Low-Moisture Part-Skim Natural Cheese, Mozzarella | Sharp Cheddar Natural Cheese, Sharp Cheddar | Monterey Jack Cheese",approve_alias,kraft,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=20
United States,US_CANADA,beverages,dunkin' donuts; dunkin donuts,dunkin' donuts,197,"Dunkin donuts milk chocolate hot cocoa flavored mix k cup pods | Hot Cocoa | Dunkin' Donuts, Buttery Toffee Nut Swirl Iced Coffee, Small | Dunkin' Donuts, Sweet Tea, Raspberry, Large | Dunkin' Donuts, Frozen Vanilla Chai, Small",approve_alias,dunkin' donuts,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=1
France,FRANCE,snacks,ker cadelac; ker cadelac kids,ker cadelac,191,madeleines extra moelleuses | Palet bretons pur beurre | Ker Cadelac Palets Breton Barquette | 26 P'tites Madeleines | Madeleines,approve_alias,ker cadelac,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
France,FRANCE,dairies,mamie nova; mamie nova gourmand,mamie nova,190,Tiramisu cappuccino | Gourmand le yaourt | yaourt gourmand mandarine citron vert | Yaourt fraises | Yaourt gourmand Citron Lemon curd,approve_alias,mamie nova,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
United States,US_CANADA,snacks,ahold; ahold licensing sarl,ahold,188,"Plain Rice Cakes | 12 Candy Canes | Greenbrier international, candy, natural peppermint flavor | Hard Candy With Chewy Centres | Starlights Sweet Swirled Hard Candy",approve_alias,ahold,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=2
France,FRANCE,dairies,lactel; lactel professionnel; lactel max,lactel,188,"Matin léger | demi écrémé | Lait demi-écrémé (1,2 % MG) | Lait Entier | Lait entier lactel",approve_alias,lactel,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=3
United States,US_CANADA,snacks,wegmans; wegmans food markets inc; wegmans organic; wegman's; wegmans food markets; wegmans food mkts,wegmans,188,"Dark Chocolate | Buffalo Style Flavored Sourdough Pretzels, Buffalo Style | Honey Mustard Flavored Sourdough Pretzels Pieces, Honey Mustard | Brown Sugar Cinnamon Flavored Sourdough Pretzel Pieces, Brown Sugar Cinnamon | Original Natural Smoke Beef Jerky, Original Beef",approve_alias,wegmans,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=111; heuristic=3
United States,US_CANADA,dairies,wegmans; wegmans organic; wegmans food markets inc; wegman's; wegmans greek; wegmans hi-pro; wegmans italian classics,wegmans,180,"Fat Free Milk | Hi-Pro whole milk | Lite Whipped Topping | Hatch Chili Cheese Spread, Hatch Chili | Cannoli Dip With Chocolate Chips, Cannoli With Chocolate Chips",approve_alias,wegmans,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=111; heuristic=3
France,FRANCE,dairies,candia; candia viva; candia baby,candia,179,Candy’Up | Grandlait | Lait Viva | Candy'up | le lait de ma région,approve_alias,candia,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=6
France,FRANCE,beverages,nespresso; nespresso france; nespresso variations italia,nespresso,178,Fortado | Arpaggio | Cocoa Truffle | Linizio Lungo | Volute decaffeinato,approve_alias,nespresso,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=2
France,FRANCE,beverages,joker; joker le pur jus,joker,177,Jus Orange Joker | Le pur jus | Jus d'orange sans pulpe | Jus d'orange | Joker le fruit,approve_alias,joker,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
United States,US_CANADA,snacks,kind; kind protein max; kind minis; kind inc; kind chewy; kind breakfast protein; kind breakfast; kind kids; kind llc; kind protein; kind thins; kind zero,kind,177,"Chocolate Chunk Energy Bar, Chocolate Chunk | Simple Crunch Peanut Butter Granola Bars | Fruit & Nut Bar, Almond & Apricot | Almond & Coconut | Kind Cranberry Almond With Almonds",approve_alias,kind,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=17
France,FRANCE,snacks,gerble; gerble bio,gerble,173,Biscuit muesli avoine Gerblé | biscuit chocolat noir | Biscuit son d avoine | Biscuits saveur coco | Crousti’pause choco noisette,approve_alias,gerble,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
United States,US_CANADA,snacks,lance; lance snyder's-lance inc; lance manufacturing llc; lance mfg. llc,lance,166,"Lance, toasty crackers, real peanut butter, real peanut butter | Cookies, rich vanilla creme | Lance, nip chee crackers, cheddar cheese, cheddar cheese | Lance, toast chee, crackers, peanut butter, peanut butter | Lance, captain's wafers, sandwich crackers, cream cheese & chives, cream cheese & chives",approve_alias,lance,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=42
United States,US_CANADA,beverages,jamba juice; jamba juice company,jamba juice,163,"Jamba Juice, Acai Super Antioxidant Smoothie, Medium | Jamba Juice, Strawberry Whirl Smoothie, Small | Jamba Juice, Orange Berry Antioxidant, 27 Fl Oz | Jamba Juice, Purely Orange, 16 Fl Oz | Jamba Juice, Great Greens, 16 Fl Oz",approve_alias,jamba juice,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=2
United States,US_CANADA,snacks,clif; clif bar and company; clif kid; clif builders; clif z bar; clif zbar,clif,161,"Salted caramel nut organic trail mix bars, salted caramel nut | Blueberry Almond Crisp | COOKIES & CREME ENERGY BAR | Builders Protein Bar | minis snack-size energy bar",approve_alias,clif,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=55
France,FRANCE,dairies,nos regions ont du talent; nos regions ont du talent 3 x 35 g,nos regions ont du talent,161,comté | comté affiné 10 mois minimum | Quart Maroilles | Emmental label rouge | Camembert de Normandie AOP,approve_alias,nos regions ont du talent,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
France,FRANCE,beverages,franprix; franprix bio,franprix,160,Franprix café de Colombie 18 dosettes | Cafe ethiopie | Capsules expresso | Capsules Lungo | Thé vert au jasmin,approve_alias,franprix,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=8
France,FRANCE,beverages,innocent; innocent 123 soleil,innocent,159,"pastèque, framboise, pomme & citron vert | Pur Jus Orange et mangue | super smoothie | Innocent pur jus de fruit pressé 100% orange sanguine de sicile | Jus orange sans pulpe",approve_alias,innocent,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
United Kingdom,UK_IE,snacks,haribo; haribo uk,haribo,158,Jelly Babies | Mao Croqui Fruits Rouges | Sweet or sour | Haribo Starmix | Haribo Easter-Mix,approve_alias,haribo,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
United States,US_CANADA,snacks,hy-vee; hy-vee inc; hyvee; hy-vee select,hy-vee,157,"Original potato chips | Whole Grain Rice Cakes White Cheddar | Saltine crackers, saltine | White cheddar flavored baked cheese crackers, white cheddar | Milk Chocolate Raisins",approve_alias,hy-vee,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=89; brand_alias_mapping=81
United States,US_CANADA,snacks,kroger; kroger protein,kroger,156,"Lemon Poppy Seed Muffins topped with coarse sugar | Fig bar | Ginger snaps cookies | Vanilla Wafer Cookies | Reduced Fat Wafers, Vanilla",approve_alias,kroger,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
United States,US_CANADA,snacks,cadbury; cadbury dairy milk,cadbury,155,"Mini Milk Chocolate Caramel Eggs | Dairy Milk Chocolate | Royal Solid Dark Chocolate | Royal Dark Chocolate, Caramel & Sea Salt | ROYAL DARK DARK CHOCOLATE",approve_alias,cadbury,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=3
United States,US_CANADA,dairies,meijer; meijer inc; meijer distribution inc,meijer,154,Party cheese | Sharp Cheddar | Pasteurized process cheese snack | Organic monterey jack cheese | Organic mild cheddar cheese,approve_alias,meijer,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=75
France,FRANCE,dairies,carrefour bio; carrefour bio carrefour; carrefour carrefour bio; bio carrefour; carrefour bio bio c carrefour; carrefour bio carrefour groupe carrefour,Carrefour Bio,153,Lait bio | Crème Dessert Vanille | Emmental français | Emmental au lait cru | Emmental Français,approve_alias,Carrefour Bio,curated Carrefour private-label mapping,curated_private_label_mapping
United States,US_CANADA,snacks,nature valley; nature valley general mills; nature valley crunchy; nature valley protein; nature valley sweet and salty nut,nature valley,153,"Oats 'n Honey Crunchy Granola bar | Layered Granola Nut Bars, Almond Butter Chocolate | Nature Valley Sweet & Salty Nut Salted Caramel Chocolate | Granola Cups, Peanut Butter Chocolate | Peanut Butter Layered Granola Nut Bars, Peanut Butter Chocolate",approve_alias,nature valley,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=5
France,FRANCE,snacks,pringles; pringles original,pringles,151,Pringles screaming dill pickles | Pringles Hot Ones | Pringles BBQ | PRINGLES sabor original | Pringles Original,approve_alias,pringles,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
United States,US_CANADA,cereals,quaker; quaker oats; quaker life,quaker,151,Cruesli lait | Organic Instant Oatmeal Original | Organic Instant Oatmeal Maple & Brown Sugar | Quaker oatmeal squares cereal cinnamon | Crunchy corn cereal,approve_alias,quaker,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=25
United States,US_CANADA,snacks,russell stover; russell stover candies inc,russell stover,150,"Marshmallow Santa Covered In Milk Chocolate | Assorted Fine Chocolates | Red Velet In Dark Dark Chocolate | Candy Bar In Milk Chocolate | Russell stover, big bite candy bar, pumpkin pie",approve_alias,russell stover,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=5
United States,US_CANADA,snacks,h-e-b; heb; h-e-b organics; h-e-b bakery; h-e-b kettle cooked; h.e.b,h-e-b,149,RIDGED Potato Chips Sour Cream & Onion | Itz-a cracker | Nacho Cheese Flavored Tortilla Chips | Yellow Corn Round Tortilla chips | Cacao 85% dark chocolate bar,approve_alias,h-e-b,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=36; heuristic=31
United States,US_CANADA,beverages,meijer; meijer inc,meijer,149,100% juice grape from concentrate (no surgar added) | distilled water | Springwater | Apple juice | Sweet Brewed Tea,approve_alias,meijer,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=69
United States,US_CANADA,dairies,kroger; kroger carb master; kroger carbmaster; kroger csrb master,kroger,147,Vanilla Ice Cream | Plain Nonfat Yogurt | Blended Nonfat Greek Yogurt - Vanilla | Blueberry fruit on the bottom lowfat yogurt | Low fat yogurt tubes,approve_alias,kroger,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=3
United States,US_CANADA,dairies,tillamook; tillamook country creamery association; tillamook county creamery association; tillamook county creamery assn,tillamook,147,"Tillamook, extra sharp white natural cheddar cheese | Medium Cheddar Cheddar Cheese | Medium Cheddar | MEDIUM CHEDDAR | Tillamook, colby jack cheese sticks",approve_alias,tillamook,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=7
United States,US_CANADA,beverages,wegmans; wegmans organic; wegmans food markets inc,wegmans,144,"Cold-Pressured Lemonade | Fruit Punch Flavored Juic'D Right Juice Beverage Blend From Concentrate, Fruit Punch | Ginger Honey Lemon Kombucha Spritzer, Ginger Honey Lemon | 100% Lime Juice, Lime | Grapefruit Sparkling Water, Grapefruit",approve_alias,wegmans,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=108
France,FRANCE,snacks,chevaliers d'argouges; chevaliers dargouges; chevaliers d argouges,chevaliers d'argouges,143,"Chocolat au lait République Dominicaine | Tuiles chocolat lait, caramel beurre salé | Assortiment de chocolats bio | Sujets de Noël | Chocolat au lait",approve_alias,chevaliers d'argouges,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=4
United States,US_CANADA,beverages,h-e-b; h-e-b organics; heb; h.e.b; h-e-b blendables; h-e-b mi tienda,h-e-b,140,Baby organics | Kids Nutritional Shake | 100% Juice | Sparkling water | Psyllium Fiber,approve_alias,h-e-b,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=33; heuristic=31
United States,US_CANADA,snacks,hershey's; hersheys; hershey's kisses; hershey's gold,hershey's,140,jolly rancher gummy sours | Nuggets | Milk Chocolate Kisses | Milk chocolate | Cookies ‘n’ Cream Snowman,approve_alias,hershey's,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=9; heuristic=8
United Kingdom,UK_IE,snacks,cadbury; cadbury bournville; cadbury brunch; cadbury dairy milk,cadbury,138,Fingers | Twirl extra | Cadbury Dairy Milk Biscoff | Fingers Salted Caramel Flavour | Dairy milk buttons dessert,approve_alias,cadbury,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=3
France,FRANCE,dairies,etoile d'or; etoile dor; etoile d or,etoile d'or,138,Fondue aux trois fromages | Raclette en tranchettes | Emmental francais | Rocamadour Aop au lait cru | Emmental,approve_alias,etoile d'or,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=16
United States,US_CANADA,dairies,crystal farms; crystal farms dairy co,crystal farms,136,"Unsalted sweet cream butter, unsalted sweet cream | Swiss Style Pasteurized Prepared Cheese Product | Sharp Cheddar Singles | AMERICAN NON-FAT PASTEURIZED PREPARED CHEESE PRODUCT | Cheddar Jack Cheese",approve_alias,crystal farms,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=3
France,FRANCE,beverages,pressade; pressade bio,pressade,136,pressade pocket pomme | Le Bio Pomme | Nectar Multifruit Bio | pressade nectar multifruits tropical | Le sirop bio citron,approve_alias,pressade,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=1
France,FRANCE,dairies,milsani; aldi milsani; milsani aldi,milsani,134,Yaourt à la Grecque | Lait Demi écrémé Stérilisé UHT | Lait écrémé stérilisé UHT | skyr | Fromage blanc nature,approve_alias,milsani,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=41
United States,US_CANADA,snacks,reese's; reeses; reese's pieces; reese's puffs,reese's,134,White Chocolate | Milk chocolate peanut butter hearts | Miniature candy cane cups | Dark chocolate Zero sugar | Filled Pretzels,approve_alias,reese's,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",heuristic=8; brand_alias_mapping=4
United States,US_CANADA,cereals,post; post foods llc; post consumer brands llc; post great grains; post consumer brands,post,132,"Scooters Cereal | Marshmallow Fruity Pebbles | great grains cereal | Whole Grain Cereal | Post, cereal, apple",approve_alias,post,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=29
United States,US_CANADA,beverages,krispy kreme; krispy kreme doughnut corporation; krispy kreme doughnuts,krispy kreme,130,"Krispy Kreme, House Blend Coffee, 20 Oz | Krispy Kreme, Skinny Cappuccino, 16 Oz | Krispy Kreme, Iced Tea, Unsweet, 16 Oz | Krispy Kreme, Caramel Iced Coffee, 16 Oz | Krispy Kreme, Iced Vanilla Coffee, 20 Oz",approve_alias,krispy kreme,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=9
United States,US_CANADA,dairies,yoplait; yoplait light; yoplait original; yoplait whips; yoplait protein; yoplait calin o fraise; yoplait smooth style,yoplait,130,Yogourt vanille proteiné | Banana yop | Minigo | Yoplait whips! strawberry mist | Yoplait Whips! Raspberry Low Fat Yogurt Mousse,approve_alias,yoplait,"mechanical spelling, punctuation, spacing, suffix, or confirmed-alias variant",brand_alias_mapping=26
