country_or_market,observed_market_region_codes,category,normalized_brand_candidate,raw_brand_variant_count,raw_brand_variants,raw_brand_variant_counts,total_product_count,example_product_names,mapping_reason,mapping_source,row_decisions,review_note
France,FRANCE,dairies,cora,2,cora; cora nature bio,cora=335; cora nature bio=6,341,Fromage fouetté | Lait demi-écrémé | Yaourt a boire | Comte 18 mois | gruyere IGP,existing_confirmed_alias=28,brand_alias_mapping=28,,
France,FRANCE,beverages,tropicana,3,tropicana; tropicana essentiels; tropicana pure premium,tropicana=335; tropicana essentiels=2; tropicana pure premium=2,339,Ruby breakfast | Pur Jus d'orange de Floride | Jus D'orange Pur | Jus d'orange | Orange Juice - No Pulp (3.78L),existing_confirmed_alias=4,brand_alias_mapping=4,,
France,FRANCE,dairies,juraflore,3,juraflore; jura flore; juraflore fort des rousses,juraflore=219; jura flore=112; juraflore fort des rousses=1,332,Comté bio | Compté Bio - Jura Flore | Comté BIO | Comté Bio | Comté Bio jura flore,punctuation_spacing_variant=112; existing_confirmed_alias=1,heuristic=112; brand_alias_mapping=1,,
France,FRANCE,snacks,lay's,4,lay's; lay's lays; lays; lay's gourmet,lay's=191; lay's lays=114; lays=20; lay's gourmet=1,326,Chips Saveur Barbecue | Saveur Sel & Vinaigre | Méditerranéenne 100% Huile d'Olive Nature | Lay’s forno authentic cheese | Chips lays,repeated_prefix_collapsed=115; punctuation_spacing_variant=20; existing_confirmed_alias=1,heuristic=135; brand_alias_mapping=1,,
United States,US_CANADA,snacks,meijer,5,meijer; meijer inc; meijer naturals; meijer distribution inc; meijer kids,meijer=277; meijer inc=36; meijer naturals=4; meijer distribution inc=2; meijer kids=1,320,Cookies chocolate chip | Potato Chips | Jumbo flaky | Chocolate fudge brownie mix | Classic potato chips,existing_confirmed_alias=80,brand_alias_mapping=80,,
France,FRANCE,beverages,coca-cola,8,coca-cola; coca cola; coca-cola company; coca cola zero; cocacola; coca-cola europacific partners norge as; coca cola company; coca-cola european partners norge a,coca-cola=262; coca cola=35; coca-cola company=6; coca cola zero=3; cocacola=2; coca-cola europacific partners norge as=2; coca cola company=1; coca-cola european partners norge a=1,312,Coca Cola | Soda au Cola Goût Original | Soda au Cola Zéro Sucres | Canette - Champions du monde 98 - Coupe du monde de Football 1998 | Coca Cola ORIGINAL TASTE,existing_confirmed_alias=75,brand_alias_mapping=75,,
France,FRANCE,snacks,nestle,11,nestle; nestle kit kat; nestle dessert; nestle nesquik; nestle chocapic; nestle crunch; nestle lanvin; nestle nespresso; nestle la laitiere; nestle milo; nestle norge as,nestle=244; nestle kit kat=15; nestle dessert=12; nestle nesquik=8; nestle chocapic=8; nestle crunch=6; nestle lanvin=6; nestle nespresso=2; nestle la laitiere=1; nestle milo=1; nestle norge as=1,304,La lechera choco-avellana | Kit Kat | Kit Kat Chunky 36g | Galak | KIT KAT THÉ VERT,existing_confirmed_alias=305,brand_alias_mapping=305,,
France,FRANCE,snacks,chabrior,3,chabrior; chabrior intermarche; chabrior - bleu blanc coeur,chabrior=240; chabrior intermarche=48; chabrior - bleu blanc coeur=1,289,Caofret' | BRIEFING | Palmiers | Préparation cookie chocolat | Brioche tranchée,existing_confirmed_alias=66,brand_alias_mapping=66,,
United States,US_CANADA,cereals,kellogg's,8,kellogg's; kelloggs; kellogg; kellogs; kellog's; kellog; kellogg uk; kellogg's kelloggs,kellogg's=247; kelloggs=23; kellogg=8; kellogs=5; kellog's=2; kellog=1; kellogg uk=1; kellogg's kelloggs=1,288,Special K fruit and yogurt | Frosted mini wheats original | Toasted rice cereal | Froot loops | Apple Jacks,existing_confirmed_alias=63; repeated_prefix_collapsed=1,brand_alias_mapping=63; heuristic=1,,
France,FRANCE,snacks,picard,2,picard; picard creation,picard=287; picard creation=1,288,"10 mini-pains au chocolat, pur beurre | Shortbread millionnaire | Brioche Tranchée Pur Beurre Surgelelée Deja Cuite 275 g | Opéra | Petit trianon - Croquant au chocolat",existing_confirmed_alias=1,brand_alias_mapping=1,,
France,FRANCE,snacks,sondey,3,sondey; lidl sondey; sondey lidl,sondey=212; lidl sondey=66; sondey lidl=6,284,Biscuits doré extra | Mini fourrés cœur chocolat | Domino choco | Biscuits au Choco nussa | BIO Mini lunettes,retailer_subbrand_alias=83,heuristic=83,,
France,FRANCE,dairies,saveurs de nos regions,2,saveurs de nos regions; saveurs de nos regions lidl,saveurs de nos regions=280; saveurs de nos regions lidl=4,284,Mont d'or | Epoisses affiné au marc de Bourgogne | Rocamadour AOP 3x35g | Quart Maroilles AOP | Cantal entre-deux,existing_confirmed_alias=6,brand_alias_mapping=6,,
France,FRANCE,dairies,milbona,3,milbona; lidl milbona; milbona lidl,milbona=245; lidl milbona=33; milbona lidl=3,281,Parmiggiano reggiano DOP râpé | Fromage à tartiner ail et fines herbes | Créfé Ail & Fines Herbes | TIRAMISÙ | Mousse à la liégeoise chocolat,retailer_subbrand_alias=61,heuristic=61,,
France,FRANCE,dairies,envia,3,envia; envia lidl; lidl envia,envia=234; envia lidl=36; lidl envia=5,275,Hey - Yaourt à boire sucré saveur vanille | Crème dessert chocolat | Crème légère 18% semi-épaisse | Yaourt bio fraise | L'onctueux et lit de framboise,retailer_subbrand_alias=45,heuristic=45,,
France,FRANCE,beverages,u bio,2,u u bio; u bio,u u bio=254; u bio=16,270,Jus de Pomme | Jus de Citron pur jus bio | Boisson au soja vanille | Nectar orange pêche abricot | Nectar multifruit,repeated_prefix_collapsed=531,heuristic=531,,
France,FRANCE,snacks,lu,3,lu; lu prince; lu belvita,lu=252; lu prince=8; lu belvita=1,261,PIM'S | Pépito chocolat au lait | Lulu la barquette | La barquette LULU | Tuiles amandes (aux amandes effilees),existing_confirmed_alias=13,brand_alias_mapping=13,,
United States,US_CANADA,snacks,great value,3,great value; great value butter milk waffle; great value cruchy potato chips,great value=253; great value butter milk waffle=1; great value cruchy potato chips=1,255,"Pretzel balls, parmesan garlic | Sea Salt Pita Crackers | Original potato chips | Buttermilk Biscuits | Kettle cooked mesquite bbq flavored chips",existing_confirmed_alias=2,brand_alias_mapping=2,,
France,FRANCE,dairies,marque repere,4,marque repere les croises; marque repere; marque repere leclerc; marque repere delisse,marque repere les croises=211; marque repere=35; marque repere leclerc=3; marque repere delisse=1,250,Creme legere | Fromage blanc | Camembert Les Croisés | Emmental | Emmental Bio,existing_confirmed_alias=223,brand_alias_mapping=223,,
United States,US_CANADA,cereals,general mills,3,general mills; general mill's; general mills inc,general mills=240; general mill's=1; general mills inc=1,242,Lucky Charms | Chex Cinnamon gluten free | Total raisin bran cereal | Cinnamon Toast Crunch Cereal | Lucky Charms Cereal,punctuation_spacing_variant=1; existing_confirmed_alias=1,heuristic=1; brand_alias_mapping=1,,
France,FRANCE,beverages,kusmi tea,2,kusmi tea; kusmi-tea,kusmi tea=240; kusmi-tea=1,241,Sweet love | Boost | detox aromatisé citron | detox | Thé vert BB detox,existing_confirmed_alias=1,brand_alias_mapping=1,,
United Kingdom,UK_IE,snacks,walkers,8,walkers; walker's; walkers sensations; walkers max; walkers crisps; walkers crinkles; walkers nonsuch; walkers quavers,walkers=225; walker's=4; walkers sensations=3; walkers max=3; walkers crisps=1; walkers crinkles=1; walkers nonsuch=1; walkers quavers=1,239,Shortbread Fingers | Oat Shortbread | Wee Shorties | walkers | Cheese and onion,existing_confirmed_alias=10; punctuation_spacing_variant=4,brand_alias_mapping=10; heuristic=4,,
France,FRANCE,dairies,franprix,2,franprix; franprix bio,franprix=236; franprix bio=3,239,Gouda Cumin | Beaufort | Yaourt à la grecque sur lit de miel | Beaufort au lait cru | Beaufort au Lait Cru,existing_confirmed_alias=8,brand_alias_mapping=8,,
France,FRANCE,cereals,kellogg's,6,kellogg's; kellog's; kellogs; kellog 's; kellog company; kellogg's kellogg's,kellogg's=219; kellog's=8; kellogs=7; kellog 's=1; kellog company=1; kellogg's kellogg's=1,237,Just Right | corn flakes | miel pops | Cer. kellogg S Special K | All-brann prebiotic,existing_confirmed_alias=22; repeated_prefix_collapsed=1,brand_alias_mapping=22; heuristic=1,,
France,FRANCE,snacks,netto,2,netto; netto netto,netto=232; netto netto=1,233,Chausson à la compote de pommes | Croissant Pur Beurre X5 | Pain au Chocolat Pur beurre (x5) | Gaufrettes fourrées Noisettes | Confiserie Confiserie,repeated_prefix_collapsed=1,heuristic=1,,
France,FRANCE,beverages,paquito,2,paquito; paquito intermarche,paquito=224; paquito intermarche=5,229,Jus d'orange | Sirop de menthe | Jus de raisin | Sirop de grenadine | 100% jus d’orange,existing_confirmed_alias=5,brand_alias_mapping=5,,
United States,US_CANADA,dairies,chobani,7,chobani; chobani flip; chobani inc; chobani llc; chobani zero sugar; chobani creations; chobani simply 100,chobani=190; chobani flip=17; chobani inc=8; chobani llc=6; chobani zero sugar=3; chobani creations=1; chobani simply 100=1,226,greek yogurt | Greek Yogurt Peach on the Bottom | Mango | Greek yogurt strawberry | Flip Greek Yogurt Cookies & Cream,existing_confirmed_alias=36,brand_alias_mapping=36,,
France,FRANCE,snacks,franprix,2,franprix; franprix bio,franprix=221; franprix bio=2,223,Cookies aux pépites de chocolat | Tortillas | Chocolat Lait aux noisettes entières | Chocolat noir aux noisettes entières torréfiées | Le chocolat noir aux noisettes entières,existing_confirmed_alias=8,brand_alias_mapping=8,,
France,FRANCE,snacks,lidl,10,lidl; lidl snack day; lidl alpen feet; lidl favorina; lidl italiamo; lidl france; lidl preferred selection; lidl stiftung and co.kg; lidl uk ireland; lidl vitasia,lidl=205; lidl snack day=8; lidl alpen feet=1; lidl favorina=1; lidl italiamo=1; lidl france=1; lidl preferred selection=1; lidl stiftung and co.kg=1; lidl uk ireland=1; lidl vitasia=1,221,maître jean pierre chinois | Macarons foie de canard et figue | Bio chocolat noir | ma tablette a partager | Chips a la truffe d'ete,existing_confirmed_alias=18,brand_alias_mapping=18,,
France,FRANCE,beverages,teisseire,3,teisseire; teisseire cola; teisseire zero,teisseire=219; teisseire cola=1; teisseire zero=1,221,Sirop Pêche | Sirop de grenadine | sirop de fraise bio | Grenadine | Sirop grenadine,existing_confirmed_alias=3,brand_alias_mapping=3,,
United States,US_CANADA,beverages,gatorade,8,gatorade; gatorade zero; gatorade frost; gatorade drink; gatorade frost crisp and cool; gatorade low sugar orange; gatorade thirst quencher; gatorade water,gatorade=209; gatorade zero=5; gatorade frost=1; gatorade drink=1; gatorade frost crisp and cool=1; gatorade low sugar orange=1; gatorade thirst quencher=1; gatorade water=1,220,"Berry Zero Sugar | Grape Electrolyte Water Beverage | Gatorade Thirst Quencher Lemon Lime | Thirst quencher | Arctic blitz crisp & cool thirst quencher, arctic blitz",existing_confirmed_alias=11,brand_alias_mapping=11,,
United Kingdom,UK_IE,dairies,asda,3,asda; asda exceptional; asda grower's selection,asda=216; asda exceptional=3; asda grower's selection=1,220,Extra Special Madagascan Vanilla Portuguese Custard Tart | Grated mature british cheddar | British milk whole | Long life semi skimmed milk | Long life Skimmed Milk,existing_confirmed_alias=7,brand_alias_mapping=7,,
France,FRANCE,snacks,milka,3,milka; milka oreo; milka mmmax choco jelly,milka=217; milka oreo=2; milka mmmax choco jelly=1,220,Bonbon au pain d’epices | Mini cookies | Cookies | Muffins Milka | Milka choco muffin,existing_confirmed_alias=3,brand_alias_mapping=3,,
Belgium,BENELUX|FRANCE,snacks,carrefour,2,carrefour; carrefour carrefour,carrefour=217; carrefour carrefour=1,218,Barquettes | 10 pains au lait | Le Petit Beurre | Chocolat au lait | Crackers saveur fromage,repeated_prefix_collapsed=1,heuristic=1,,
United Kingdom,UK_IE,snacks,asda,4,asda; asda exceptional; asda bakery; asda exeptional,asda=210; asda exceptional=3; asda bakery=1; asda exeptional=1,215,4 Milk Chocolate Shortbreads | Almond Croissant | Milk Chocolate Shortbreads | Extra Special Triple Chocolate cookies | Classic Cream Crackers,existing_confirmed_alias=8,brand_alias_mapping=8,,
United States,US_CANADA,dairies,trader joe's,3,trader joe's; trader joes; trader joe's trader joes,trader joe's=196; trader joes=18; trader joe's trader joes=1,215,"Reduced fat milk | Apple Caramel Greek Whole Milk Yogurt | Greek Yogurt Guava Passion Fruit | low fat strawberry yogurt | Butter with Parmesan, Garlic & Herb",punctuation_spacing_variant=83; repeated_prefix_collapsed=3,heuristic=86,,
France,FRANCE,beverages,solevita,4,solevita; lidl solevita; solevita lidl; solevita - lidl,solevita=185; lidl solevita=24; solevita lidl=3; solevita - lidl=1,213,Jus de pomme | jus de cramberry | Jus d'orange | Jus de Tomate | CRANBERRY,retailer_subbrand_alias=36; existing_confirmed_alias=1,heuristic=36; brand_alias_mapping=1,,
France,FRANCE,snacks,monoprix,2,monoprix; monoprix p'tit prix,monoprix=210; monoprix p'tit prix=3,213,Smoothie - Rebelle - True fruits | Gaufrettes fourrées saveur vanille | Gaufrettes Fourrées Praliné | Gaufrettes Enrobées Chocolat | Torsades Pur Beurre feuilletées et dorées,existing_confirmed_alias=6,brand_alias_mapping=6,,
United States,US_CANADA,beverages,great value,3,great value; great value organic; great value sport,great value=210; great value organic=1; great value sport=1,212,"Hydrate Alkaline Water | Cream Soda | Purified drinking water | Great value, drink mix, strawberry watermelon | 100% orange juice",existing_confirmed_alias=2,brand_alias_mapping=2,,
France,FRANCE,dairies,monoprix gourmet,2,monoprix gourmet; monoprix monoprix gourmet,monoprix gourmet=141; monoprix monoprix gourmet=71,212,Selles-sur-Cher | Camenbert de Normandie | Salers | Reblochon de Savoie fermier | Reblochon de Savoie Fermier,repeated_prefix_collapsed=182,heuristic=182,,
United States,US_CANADA,snacks,doritos,3,doritos; doritos dinamita chile limon; doritos flamin hot,doritos=206; doritos dinamita chile limon=1; doritos flamin hot=1,208,"Doritos | Flavored Tortilla Chips, Hot | Jumpin' Jack Cheese Flavored Tortilla Chips, Jumpin' Jack Cheese | Wasabi Flavored Tortilla Chips, Wasabi | Doritos Nacho Cheese",existing_confirmed_alias=2,brand_alias_mapping=2,,
United Kingdom,UK_IE,dairies,sainsbury's,5,sainsbury's; sainsburys; sainsbury's sainsburys; sainsbury's be good to yourself; sainsbury's basics,sainsbury's=169; sainsburys=32; sainsbury's sainsburys=4; sainsbury's be good to yourself=1; sainsbury's basics=1,207,natural cottage cheese | Milk full fat | Cottage Cheese (fat free) with onion and chive | Farmhouse Butter | Semi Skimmed milk,punctuation_spacing_variant=106; repeated_prefix_collapsed=7; existing_confirmed_alias=4,heuristic=113; brand_alias_mapping=4,,
France,FRANCE,dairies,eco+,6,eco+; eco +; eco; eco+ eco; eco ++; eco+ leclerc,eco+=184; eco +=12; eco=6; eco+ eco=2; eco ++=1; eco+ leclerc=1,206,Emmental | emmental | Fromage à tartiner ail et fines herbes | Roquefort A.O.P. 32% Mat. Gr. | Râpé spécial cuisine,punctuation_spacing_variant=44; existing_confirmed_alias=4; repeated_prefix_collapsed=2,heuristic=46; brand_alias_mapping=4,,
United States,US_CANADA,dairies,kraft,10,kraft; kraft singles; kraft heinz; kraft cheese; kraft deli deluxe; kraft cheez whiz; kraft foods; kraft natural cheese; kraft signature; kraft signature natural cheese,kraft=186; kraft singles=8; kraft heinz=3; kraft cheese=1; kraft deli deluxe=1; kraft cheez whiz=1; kraft foods=1; kraft natural cheese=1; kraft signature=1; kraft signature natural cheese=1,204,"Colby Natural Cheese, Colby | Kraft, Natural Pepper Jack Cheese | Mozzarella Low-Moisture Part-Skim Natural Cheese, Mozzarella | Sharp Cheddar Natural Cheese, Sharp Cheddar | Monterey Jack Cheese",existing_confirmed_alias=20,brand_alias_mapping=20,,
France,FRANCE,beverages,monoprix,2,monoprix; monoprix p'tit prix,monoprix=201; monoprix p'tit prix=1,202,"Smoothie banane framboise | Café soluble tradition | Café soluble | Vieux calvados du pays d'Auge , élevé en fût de chêne | Boisson Tonic aux extraits naturels d'écorces de quinquina",existing_confirmed_alias=6,brand_alias_mapping=6,,
France,FRANCE,beverages,palais des thes,2,palais des thes; palais des thes palais des thes,palais des thes=200; palais des thes palais des thes=1,201,Paris for her | Green of london | Thé des Moines | Le Palais Des Thés - Thés Noirs Parfumés - Thé Des Lords | Thé Des Sables,repeated_prefix_collapsed=1,heuristic=1,,
France,FRANCE,dairies,bio,25,bio village marque repere; bio hombre; bio village leclerc; bio nat'; bio gam; bio; bio farm; bio petit producteur; bio pyrenees; bio village bebe; bio etika; bio delhaize; bio coop; bio company; bio -verde; bio comtois; bio la tourette; bio nature; bio natura; bio nat; bio nadole; bio green; bio sant'anna; bio u; bio veg,bio village marque repere=147; bio hombre=7; bio village leclerc=6; bio nat'=6; bio gam=5; bio=4; bio farm=2; bio petit producteur=2; bio pyrenees=2; bio village bebe=2; bio etika=1; bio delhaize=1; bio coop=1; bio company=1; bio -verde=1; bio comtois=1; bio la tourette=1; bio nature=1; bio natura=1; bio nat=1; bio nadole=1; bio green=1; bio sant'anna=1; bio u=1; bio veg=1,198,Kefir citron | Beurre de baratte demi sel | Fruchtjoghurt | Bio-Joghurt & Knuspermüsli - Vanille und Schoko | Mozzarella,existing_confirmed_alias=400,brand_alias_mapping=400,,
France,FRANCE,snacks,bret's,3,bret's; brets; bret's brets,bret's=98; brets=92; bret's brets=7,197,La Chips de Légumes | La chips bio oignon ciboulette | Saveur Aligot à l’aveyronnaise | Chips chèvre piment d'espelette | Chips craquantes,punctuation_spacing_variant=94; repeated_prefix_collapsed=8,heuristic=102,,
