off_brands_raw,off_brand_tokens,legacy_primary_brand,brand_entity_raw,brand_entity_source,primary_country,observed_market_region_codes,query_category,product_count,example_product_names
"Lay's, Lays",lays,lays,Lay’s,existing_company_brand_mapping_token_match,France,FRANCE,snacks,109,Lay's saveur bolognaise | Lay's Nature | Chips saveur Barbecue | Lay's Nature 6 x 25 g | Saveur Poulet Rôti
Ruffles,ruffles,ruffles,Ruffles,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,108,"Ruffles | Potato chips | Potato Chips | Barbecue Flavored Smokehouse Style Potato Chips, Barbecue | Ruffles - Original"
Snyder's Of Hanover,snyders of hanover,snyders of hanover,snyder's of hanover,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,106,"Sticks Pretzels | Pretzel pieces, bacon cheddar | Snyder's of hanover, sourdough hard pretzel pieces, jalapeno, jalapeno | Snyder's of hanover, hard pretzel pieces, hot buffalo wing & buttermilk ranch, hot buffalo wing & buttermilk ranch | Snyder's of hanover, multigrain braided twists pretzels"
Côte d'Or,cote dor,cote dor,cote d or,existing_company_brand_mapping_token_match,France,FRANCE,snacks,106,Noisettes caramélisées et franboises | Chocolat noir amandes | Chocolat au lait raisins noisette | Chocolat lait et noisettes entieres | Noir Orange
Pepsi,pepsi,pepsi,Pepsi,existing_company_brand_mapping_token_match,United States,US_CANADA,beverages,103,Diet Pepsi Cola 12 Fluid Ounce Aluminum Can | Diet Pepsi Cola 8 Fluid Ounce Aluminum Can | Cola | Pepsi | Pepsi Cola
Dannon,dannon,dannon,Dannon,existing_company_brand_mapping_token_match,United States,US_CANADA,dairies,100,Light and Fit Greek Pumpkin Pie Yogurt | Lowfat yogurt | Coffee lowfat yogurt | Low Fat Yogurt Strawberry | Lowfat yogurt
"Dannon, The Dannon Company Inc.",dannon|the dannon company inc,dannon,Dannon,existing_company_brand_mapping_token_match,United States,US_CANADA,dairies,99,"Greek nonfat yogurt, peach | Low fat yogurt | Dannon, light&fit, nonfat yogurt, cherry vanilla | Dannon, creamy nonfat yogurt, cherry | Nonfat yogurt"
Perrier,perrier,perrier,Perrier,existing_company_brand_mapping_token_match,France,FRANCE,beverages,98,Perrier Citron | Perrier | Eau Arôme Naturel Pamplemousse Rose | Perrier aromatisé concombre | Perrier strawberry
"U, U Saveurs",u|u saveurs,u,u saveurs,existing_company_brand_mapping_token_match,France,FRANCE,dairies,96,Emmental de Savoie IGP lait cru 31%mg | Emmental de Savoie IGP | Emmental de Savoie IGP | Emmental de savoir | Fêta grecque
"Nestlé, La Laitière",nestle|la laitiere,nestle,la laitiere,existing_company_brand_mapping_token_match,France,FRANCE,dairies,96,Velours de Crème Chocolat au lait | La Laitière yaourt bio à la vanille | L'onctueux sur lit de myrtilles BIO | Mousse Grand Chocolat. Copeaux & Coulis Chocolat | Velours de creme chocolat x4
Clif,clif,clif,Clif,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,95,"Salted caramel nut organic trail mix bars, salted caramel nut | minis snack-size energy bar | Blueberry Crisp Energy Bar | Clif white chocolate macadamia nut bars | clif bar"
Kellogg's,kelloggs,kelloggs,kellogg's,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,94,KRISPY ORIGINAL SALTINE CRACKERS | Cheez-it Cheddar biscuits | Baked Snack Crackers | Graham snacks | Toesteds crackers
Volvic,volvic,volvic,Volvic,existing_company_brand_mapping_token_match,France,FRANCE,beverages,94,Volvic natural spring water | Volvic juicy | Eau minérale narurelle | Eau minerale naturelle | Eau minérale naturelle
Cheerios,cheerios,cheerios,Cheerios,existing_company_brand_mapping_token_match,United States,US_CANADA,cereals,89,Cheerios | Cheerios Honey Nut | Honey Nut Cheerios | Honey Nut Cheerios | Frosted Cheerios
Pepsi,pepsi,pepsi,Pepsi,existing_company_brand_mapping_token_match,France,FRANCE,beverages,89,Pepsi | Pepsi lime | With a splash of mango juice | Pepsi Cola | Pepsi
"U, U Saveurs",u|u saveurs,u,u saveurs,existing_company_brand_mapping_token_match,France,FRANCE,snacks,88,Croissant U saveurs | Pain au chocolat | Pain au chocolat x 4 | Croissants pur beurre | Biscuits Navettes de Provence fleur d'oranger pur beurre - 400g
Kellogg's,kelloggs,kelloggs,kellogg's,existing_company_brand_mapping_token_match,United Kingdom,UK_IE,cereals,87,Corn flakes | Crunchy Nut Cereal | Rice Krispies | All-Bran | Special K
"Auchan, Auchan Bio",auchan|auchan bio,auchan,auchan bio,existing_company_brand_mapping_token_match,France,FRANCE,dairies,85,BIOEmmental français râpé | BIORoquefort au lait cru de brebis | Fromage blanc issu de l'agriculture biologique | Pyramide de chèvre issue de l'agriculture biologique | BIOBûche de chèvre
Oreo,oreo,oreo,Oreo,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,84,Oreo | Orea Candy Canes | Oreo holiday chocolate cookie house | Oreo | Mini chocolate sandwich cookies snack packs
"U, U Saveurs",u|u saveurs,u,u saveurs,existing_company_brand_mapping_token_match,France,FRANCE,beverages,83,"Vin blanc Méditerranée Viognier IGP blanc - Fontaine à vin 3L | Vin rouge IGP Pays d'OC Pinot Noir Grande Réserve Bouteille 75cl | Vin rouge IGP Pays d'OC Pinot Noir Grande Réserve Bouteille 75cl | Vin blanc Méditerranée IGP Viognier | Vin rouge Pays d'OC IGP Pinot Noir - HVE3 34,5cl"
"Danette, Danone",danette|danone,danette,Danette,top9_portfolio_token_match,France,FRANCE,dairies,82,Danette saveur coco | Danette chocolat extra noir | Danette et fruits | Danette mousse liégeoise | Danette saveur vanille magix
Activia,activia,activia,Activia,existing_company_brand_mapping_token_match,France,FRANCE,dairies,77,Lowfat Yogurt with prune | Activia Mix&Go Muesli Amandes Quinoa Graines de Chia | Mix & go | activia mix&go | Low Fat Yogurt
Tostitos,tostitos,tostitos,Tostitos,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,76,"Tortilla Chips | Crispy Rounds Original | Tostitos Bite Size | Tostitos Bite Size Rounds Tortilla Chips | Hint Of Jalapeno Flavored Tortilla Chips, Jalapeno"
Silk,silk,silk,Silk,existing_company_brand_mapping_token_match,United States,US_CANADA,beverages,75,Dark Chocolate Almondmilk | Organic soymilk | Vanilla Organic Soymilk | Almond Milk Dark Chocolate | Coconut Milk
Doritos,doritos,doritos,Doritos,existing_company_brand_mapping_token_match,France,FRANCE,snacks,74,"Doritos Tortilla Chips Flavored, Nacho Cheese | Doritos Nacho Cheese Chips | Nacho Cheese | Nacho Cheese Flavored Tortilla Chips | Doritos Ketchup"
"Ferrero, Kinder",ferrero|kinder,ferrero,kinder,existing_company_brand_mapping_token_match,France,FRANCE,snacks,73,Kinder bueno | BOX KINDER MAXI MINI 340 pcs | Barre maxi x 4 | Barres chocolat | Kinder chocolat t12 x3 lot de 36 batonnets
Dr Pepper,dr pepper,dr pepper,Dr Pepper,existing_company_brand_mapping_token_match,United States,US_CANADA,beverages,69,"Diet cherry soda | Diet dr pepper | Dr Pepper | Crush, soda, orange, orange | Caffeine free peach soda"
"Auchan, Auchan Bio",auchan|auchan bio,auchan,auchan bio,existing_company_brand_mapping_token_match,France,FRANCE,beverages,68,AUCHAN CAFE FILIERE BIO MEXIQUE COMPATIBLE SENSEO®.Rond et fruité | AUCHAN CAFE FILIERE BIO MEXIQUE COMPATIBLE NESPRESSO HOME COMPOST Riche et fruité | AUCHAN CAFE BIO ESPRESSO NS HOME COMPOST Riche et équilibré. | AUCHAN CAFE BIO LUNGO NS HOME COMPOST Rond et délicat. | Auchan dg bio fairtrade perou lungo
Elle & Vire,elle and vire,elle and vire,elle & vire,existing_company_brand_mapping_token_match,France,FRANCE,dairies,67,Carré Frais nature 0% | Carre frais 0% | Emmental français rapé | Carré frais | Carré frais
Oreo,oreo,oreo,Oreo,existing_company_brand_mapping_token_match,France,FRANCE,snacks,66,Crunchies | Oreo strawberry cheesecake | The Original Oreo | Muffin | Oreo Muffin
"Monoprix, Monoprix Gourmet",monoprix|monoprix gourmet,monoprix,monoprix gourmet,existing_company_brand_mapping_token_match,France,FRANCE,snacks,65,Pain aux amandes | Meringués aux noisettes sur lit de chocolat au lait | Torsades au Beurre et Sel | 8 Madeleines nature | Madeleine nature
"Monoprix, Monoprix Gourmet",monoprix|monoprix gourmet,monoprix,monoprix gourmet,existing_company_brand_mapping_token_match,France,FRANCE,dairies,65,Parmiggiano Reggiano | Parmigiano reggiano | Parmigiano Reggiano | Parmigiano reggiano | Parmigiano Reggiano La pointe
M&S,m and s,m and s,m&s,existing_company_brand_mapping_token_match,France,FRANCE|UK_IE,snacks,64,Cookies pépites chocolat et noisette | Decorated hollow white chocolate Arendelle Castle | Cantina Style Corn Tortillas | Belgian milk chocolate coated brazil nuts | Festive hot chocolate
Nature's Bakery,natures bakery,natures bakery,nature's bakery,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,62,Raspberry Fig Bar | Fig Bar | Original Fig Bar | Gluten Free Blueberry Fig Bar | Original Fig Bars
McVitie's,mcvities,mcvities,mcvitie's,existing_company_brand_mapping_token_match,France,FRANCE,snacks,62,Sablé aux flocons d'avoine | Sablés anglais | Pocket Chocolat au Lait | Mc vities original | Sablé Anglais
"Casino, Casino Bio",casino|casino bio,casino,casino bio,existing_company_brand_mapping_token_match,France,FRANCE,dairies,62,Emmental bio | Emmental bio râpé | Crème fraîche épaisse Produit de l'agriculture biologique | Yaourt nature 0% de matières grasses BIO | Fromage frais BIO 3.2% de mat.gr.sur produit fini
Sodastream,sodastream,sodastream,SodaStream,existing_company_brand_mapping_token_match,France,FRANCE,beverages,60,Sirop de citron | Sirop de cassis | Sirop Bio Rhubarbe | Concentré saveur Limonade Zéro | Sodastream - Concentré De Tonic - 3009335
Nestlé,nestle,nestle,KitKat,product_name_recovery_nestle_france_snacks,France,FRANCE,snacks,59,KIT KAT THÉ VERT | Kit Kat Mint Créme & Cookie Smash | Kit Kat Bar White | Kit Kat Cookies & Cream | Kit Kat White & Milk
President,president,president,président,existing_company_brand_mapping_token_match,United States,US_CANADA,dairies,56,"President, rondele, gourmet spreadable cheese, spinach & garlic | Authentic pub cheese | Pub Cheese | Cheddar & Jalapeno | Cheddar & horseradish spreadable cheese, cheddar & horseradish"
Nescafé,nescafe,nescafe,Nescafé,existing_company_brand_mapping_token_match,France,FRANCE,beverages,56,Nescafé spécial filtre | Instant coffee | Marrakech Tea | Nescafe Hazelnut | Nescafé spécial filtre
Kitkat,kitkat,kitkat,KitKat,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,56,"Crisp Wafers In Milk Chocolate Minis | Crisp Wafers 'N Creme, Red Velvet | Crisp Wafers 'N Creme | Crisp Wafers, Milk Chocolate | Crisp Wafers In Milk Chocolate Miniatures"
McVitie's,mcvities,mcvities,mcvitie's,existing_company_brand_mapping_token_match,United Kingdom,UK_IE,snacks,56,McVitie’s Digestives Original | Dark Chocolate Digestives | Digestives Gold | Digestives seriously chocolatey | McVitie's Rich Tea The Cocoa One - McVitie's - McVitie's
Oikos,oikos,oikos,Oikos,existing_company_brand_mapping_token_match,United States,US_CANADA,dairies,55,"Oikos Triple Zero Vanilla | Triple Zero | Triple Zero Peach Flavored Yogurt | Oikos Triple Zero | Almond Butter & Vanilla Greek Yogurt, Almond Butter; Vanilla"
"Casino, Casino Bio",casino|casino bio,casino,casino bio,existing_company_brand_mapping_token_match,France,FRANCE,snacks,55,Galettes bretonnes BIO | Petit Beurre avec Tablette de Chocolat Noir | Sablés aux amandes et au citron | Chocolat noir bio 74% dégustation | Chocolat lait dégustation bio
"Casino, Casino Bio",casino|casino bio,casino,casino bio,existing_company_brand_mapping_token_match,France,FRANCE,beverages,55,Sirop citron | Thé vert aromatisé Mûre - 20 sachets fraîcheur | Thé Earl Grey Thé noir saveur bergamote 20 sachets fraîcheur | Infusion Après repas bio 30g 20 sachets fraîcheur | Infusion Nuit Paisible 20 sachets fraîcheur
Monster Energy Company,monster energy company,monster energy company,Monster Energy,existing_company_brand_mapping_token_match,United States,US_CANADA,beverages,55,"Hubert's, Raspberry Lemonade, Raspberry | Peace Tea, Caddy Shack, Ice Tea + Lemonade | Peace Tea, Sweet Lemon Tea, Lemon | Peace Tea, Green Tea | Peace Tea, Iced Tea, Razzleberry"
Kellogg's,kelloggs,kelloggs,kellogg's,existing_company_brand_mapping_token_match,France,FRANCE|SOUTHERN_EUROPE,cereals,54,Miel pops loops | Choco krispies | Chocos | All Bran Flakes | Fruit 'n Fibre Cereal
M&S,m and s,m and s,m&s,existing_company_brand_mapping_token_match,United Kingdom,UK_IE,snacks,53,White Chocolate Bar | Salted Caramel Hazelnut Millionare | Sweet & Smoky BBQ | Made without wheat 2 croissants | Cheese Tasters
Evian,evian,evian,Evian,existing_company_brand_mapping_token_match,France,FRANCE,beverages,53,"Eau de source naturelle | Evian | Eau Source Naturelle | Nomad, Eau De Source Naturelle | Eau evian"
Côte d'Or,cote dor,cote dor,cote d or,existing_company_brand_mapping_token_match,Belgium,BENELUX|FRANCE,snacks,51,Bouchée Blanc | Chocolat au lait | Courage! Lait - Melk | Lait noisettes | L'original lait
Cadbury,cadbury,cadbury,Cadbury,existing_company_brand_mapping_token_match,France,FRANCE|US_CANADA,snacks,51,Curly Wurly Chocolate Bar | Cadbury wispa chocolate bar | Cadbury creme egg chocolate eggs | Milk chocolate with popping candy | Cadbury dairy milk chocolate bar
Mountain Dew,mountain dew,mountain dew,Mountain Dew,existing_company_brand_mapping_token_match,United States,US_CANADA,beverages,51,Diet mountain dew citrus soda | Mtn dew | Mountain Dew soda | Amp energy boost original citrus energy drink | Mtn dew soda
"Auchan, Auchan Bio",auchan|auchan bio,auchan,auchan bio,existing_company_brand_mapping_token_match,France,FRANCE,snacks,51,BIO Noir 70% | 85% noir pur beurre de cacao | Chocolat au lait issu de l'agriculture biologique. | Chocolat noir à la fleur de sel issu de l'agriculture biologique. | Chocolat au lait à la noix de coco grillée issu de l'agriculture biologique.
"Coca-Cola, Coca-Cola-light",coca cola|coca cola light,coca cola,Coca-Cola Light,top9_portfolio_token_match,France,FRANCE,beverages,50,Coca Cola 'zero sugar' | Coca cola zero | Coca cola zero | Coca cola zero | Coca cola zero sucre
Kellogg's,kelloggs,kelloggs,kellogg's,existing_company_brand_mapping_token_match,France,FRANCE|US_CANADA,cereals,50,"Cereal | Corn flakes cereal | Kellogg's All Bran Cereal Complete Wheat Flakes .88oz | COCOA KRISPIES Chocolatey, Sweetened Rice Cereal | Crispix corn rice cereal"
Kellogg's,kelloggs,kelloggs,kellogg's,existing_company_brand_mapping_token_match,France,FRANCE,snacks,50,Eggo | Tartelettes au chocolat | Pop-Tarts Glacées aux Bleuets | Barres Céréales Coco Pops Kellogg's - 6x20g | Special k frutti rossi
Volvic,volvic,volvic,Volvic,existing_company_brand_mapping_token_match,France,FRANCE|DACH,beverages,50,"Volvic Nature 6x50cl PET | Wasser Volvic naturelle, 6erPack | Volvic Mediumperlig 1,5 L EW | Eau minérale naturelle volcanique | Volvic Nature 800cl PET"
"Carrefour, Reflets de France",carrefour|reflets de france,carrefour,Reflets de France,curated_carrefour_private_label_mapping,France,FRANCE,dairies,48,Pont - l'Evêque AOP | Chaource AOP | Crème fraîche d'Isigny AOP | Rocamadour AOP | Beurre de baratte
Orgain,orgain,orgain,Orgain,existing_company_brand_mapping_token_match,United States,US_CANADA,beverages,48,"Organic Protein Shake, Creamy Chocolate Fudge | Plant protein shake | Iced Cafe Mocha All-In-One Nutritional Shake | Organic nutritional shake strawberries cream | Organic nutritional shake strawberries & cream"
"Carrefour BIO, Carrefour",carrefour bio|carrefour,carrefour bio,Carrefour Bio,curated_carrefour_private_label_mapping,France,FRANCE,dairies,46,Flan nappé caramel | Avec morceaux Fraises | Crème fraîche épaisse Entière 30% Mat.Gr. | Lait DEMI-ECREME Stérilisé UHT | Crème FLUIDE
Pepsi,pepsi,pepsi,Pepsi,existing_company_brand_mapping_token_match,United Kingdom,UK_IE,beverages,45,Pepsi Max | Pepsi max | Diet Pepsi 8pk | Pepsi | pepsi max cherry
"Intermarché, Pâturages",intermarche|paturages,intermarche,paturages,existing_company_brand_mapping_token_match,France,FRANCE,dairies,45,"Faisselle | Yaourt sucre de canne x4 naturéa | Fromage frais nature 3,2% 4x100g | Petits suisses nature 9,2% 6x60g | BEURRE 1/2 SEL MOULE 500g origine France"
Clif Bar And Company,clif bar and company,clif bar and company,Clif,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,44,"Goblin chocolate chip organic baked whole grain energy snack bars, goblin chocolate chip | Peanut butter fruit + nut bar, peanut butter | Berry almond fruit + nut bar, berry almond | Cashew fruit + nut bar, cashew | Dark chocolate almond coconut fruit + nut bar, dark chocolate almond coconut"
"Lidl, Sondey",lidl|sondey,lidl,sondey,existing_company_brand_mapping_token_match,France,FRANCE,snacks,44,Biscuits au Choco nussa | BIO Mini lunettes | Tartelettes chocolat au lait et caramel | Envitas Céréales & Pépites de Chocolat | Petit biscuit Pocket
Ülker,ulker,ulker,ülker,existing_company_brand_mapping_token_match,France,FRANCE,snacks,43,Kremali sandviç bisküvi | Ülker Biskrem cocoa | Ulker Probis Sandwich Biscuits 10 Pack 280G | Çokoprens | Gizi cheese crackers
Kellogg's,kelloggs,kelloggs,kellogg's,existing_company_brand_mapping_token_match,Belgium,BENELUX|FRANCE,cereals,42,Corn Flakes | Céréales Country Store | Special K fruits rouges | Kellogg's Rice Krispies 375 GR | Frosties
Sprite,sprite,sprite,Sprite,existing_company_brand_mapping_token_match,United States,US_CANADA,beverages,42,"Sprite | Sprite | Lemon-Lime Soda | Sprite Soda | Sprite, Lemon-Lime Soda, Lemon-Lime"
Kellogg's,kelloggs,kelloggs,kellogg's,existing_company_brand_mapping_token_match,France,FRANCE|DACH,cereals,42,Special K nature | Cruche Nut | Frosties | Spécial Classic 375g | Corn Flakes
Carrefour Bio,carrefour bio,carrefour bio,Carrefour Bio,curated_carrefour_private_label_mapping,France,FRANCE,dairies,40,Emmental au lait cru | Emmental français | Emmental Français | Emmental français | Emmental français au lait cru
"Nestlé, Les recettes de l'atelier",nestle|les recettes de latelier,nestle,Les Recettes de l’Atelier,product_name_recovery_nestle_france_snacks,France,FRANCE,snacks,40,"NESTLE L'ATELIER Chocolat Noir Myrtilles, Amandes et Noisettes | NESTLE L'ATELIER Chocolat au Lait, Cranberries, Amandes et Noisettes | NESTLE L'ATELIER Chocolat au Lait, Raisins, Amandes et Noisettes | NESTLE L'ATELIER Ganache chocolat noir et orange | NESTLE L'ATELIER Ganache chocolat noir 150g"
"Panier de Yoplait, Yoplait",panier de yoplait|yoplait,panier de yoplait,yoplait,existing_company_brand_mapping_token_match,France,FRANCE,dairies,39,"Panier de Yoplait (0 % MG, 0 % Sucres ajoutés) - (Fraise, Pêche, Cerise, Ananas, Abricot, Mûre) 4 Pots | Panier de Yoplait Exotique (Ananas, Coco, Mangue) 8 Pots | Panier de Yoplait (0 % MG, 0 % Sucres ajoutés) - (Cerise, Fraise, Framboise, Mûre) 8 Pots | Panier de Yoplait Cerise, Fraise, Framboise, Mûre | Panier de Yoplait Pêche, Poire"
M&S,m and s,m and s,m&s,existing_company_brand_mapping_token_match,France,FRANCE|UK_IE,beverages,39,Smoothie super Berry | Aloe Vera Grape & Apple Juice | CRANBERRY & RASPERRY JUICE DRINK | Smoothie Cucumber Avocado & Lime | Almond & chocolate milk drink
"Actimel, Danone",actimel|danone,actimel,Actimel,top9_portfolio_token_match,France,FRANCE,dairies,38,Actimel + (10 Bouteilles + 2 Gratuites) | Actimel + (0 % MG) 10 Bouteilles + 2 Gratuites | Lait fermenté à boire sucré | Actimel nature | Actimel goût multifruits
Snyder's of Hanover,snyders of hanover,snyders of hanover,snyder's of hanover,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,38,Mini Pretzels | Thin Pretzels | Olde tyme pretzels | Dipping Stick Pretzels | Mini Pretzels
Cadbury,cadbury,cadbury,Cadbury,existing_company_brand_mapping_token_match,France,FRANCE,snacks,37,Cadbury Chocolate Mini Fingers X5 | Luxury Cookies Nougatine | Z'animo | Cookies Chunky | Finger
Doritos,doritos,doritos,Doritos,existing_company_brand_mapping_token_match,United Kingdom,UK_IE,snacks,37,Chilli Heatwave | BOLDER CRUNCH ICONIC TASTE Doritos TANGY CHEESE FL | Flaming Hot | Doritos a hint of paprika | Doritos Dippers A Hint Of Salt Corn Chips
"Archer Farms, Target Stores",archer farms|target stores,archer farms,target stores,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,37,"Archer farms, cheesecake, salted caramel | Pumpkin Corn Tortilla Chips | Chocolate Peppermint Cookies & Red Velvet Crisp Sugar Cookies | Archer farms, red velvet brownie | Archer farms, cookies with coffee cream filling, dark chocolate"
Ritz,ritz,ritz,Ritz,existing_company_brand_mapping_token_match,United States,US_CANADA,snacks,37,Ritz Fresh Stacks Crackers | Ritz crackers | Ritz Crackers | Ritz Cracker | Toasted Chips sour cream & onion
