country_or_market,observed_market_region_codes,category,raw_brand_variants,normalized_brand_candidate,approved_normalized_brand,alias_review_decision,mapping_source,review_reason,total_product_count,example_product_names
France,FRANCE|SOUTHERN_EUROPE,dairies,carrefour bio carrefour; carrefour bio; carrefour bio carrefour groupe carrefour; carrefour carrefour bio,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,22,Queso de untar bio | Parmegiano Reggiano DOP | Bifidus Natural 0% | YAOURT CHEVRE BIO 0% (relook BIO esp) | Yaourts nature au lait entier x12 Bio Carrefour
Belgium,BENELUX|FRANCE,dairies,carrefour bio carrefour; carrefour bio; carrefour biocarrefour,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,21,yaourt à la greque | Carrefour Bio Fromage Frais Nature | Carrefour Bio Yaourt Entier Vanille | Carrefour Bio Beurre de Baratte Salé | Carrefour Bio Yaourt Brassé Nature Entier
France,FRANCE,dairies,carrefour classic; carrefour carrefour classic; carrefour carrefour classic'; carrefour classic carrefour; carrefour classic'; classic carrefour,Carrefour Classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,21,"emmenthal râpé fondant | Gruyère râpé | Mozzarella | TARTI'BON Ail & fines herbes | Fromage blanc nature 7,6% MG"
France,FRANCE,beverages,carrefour selection carrefour; carrefour selection; carrefour carrefour selection; selection carrefour; carrefour selection grand jury,Carrefour Sélection,Carrefour Sélection,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,21,"Douceur exotique | Orange Floride, 100 % Pur Jus Pressé | Ananas Costa Rica, 100 % Pur jus pressé | Raisin Litchi, 100 % Purs Fruits Pressés | Orange du Brésil 100% pur fruit pressé"
France,FRANCE,snacks,carrefour selection carrefour; carrefour carrefour selection; carrefour selection; carrefour selectioncarrefour,Carrefour Sélection,Carrefour Sélection,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,19,"Florentins sur lit de chocolat au lait | Palmier pur beurre | Dégustation aux 3 chocolats Assortiment de biscuits fins | Cheesecake nature sur son biscuit croustillant | Assortiment de chocolats lait, noir, blanc"
France,FRANCE|SOUTHERN_EUROPE,cereals,carrefour bio carrefour; carrefour biocarrefour,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,18,Muesli croustillant chocolat | Boules de maïs au miel | Riz soufflé au chocolat | Céréales chocolat cœur aux noisettes | Cornflakes
Belgium,BENELUX|FRANCE|SOUTHERN_EUROPE,snacks,carrefour bio carrefour; carrefour bio,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,16,Chocolate negro | Chocolate con leche con avellanas caramelizadas | Biscuit Croustillant Blé Et Avoine | Tableta chocolate negro 85% | Crackers Espelta 3 semillas
France,FRANCE|SOUTHERN_EUROPE,snacks,carrefour carrefour selection; carrefour selection carrefour; carrefour selection,Carrefour Sélection,Carrefour Sélection,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,16,Carrefour Selection Lait Extra Fin | Florentins sur lit de chocolat au lait | Crêpe dentelle au chocolat noir | Craquants au caramel | Chocolate negro con pera
France,FRANCE,beverages,carrefour simpl; carrefour discount; carrefour carrefour discount; carrefour discount carrefour; carrefour carrefour discount groupe carrefour; carrefour carrefour discount simpl produits blancs; simpl,Simpl,Simpl,manual_review_private_label_line,curated_private_label_mapping,curated Carrefour private-label mapping requires manual confirmation,14,Cappucino sans sucres ajoutés | Eau de source | Sirop de Citron | Préparation pour boisson instantanée au cacao maigre | Préparation pour boisson cacaotée
France,FRANCE,dairies,carrefour simpl; carrefour discount; simpl; carrefour discount carrefour; carrefour carrefour discount simpl; carrefour discount simpl produits blancs,Simpl,Simpl,manual_review_private_label_line,curated_private_label_mapping,curated Carrefour private-label mapping requires manual confirmation,13,"Emmental | 12 Petits Suisses (10,4 % MG) | Lait concentré non sucré | Île flottante sur lit de crème anglaise | Lait demi-écrémé"
France,FRANCE|SOUTHERN_EUROPE,beverages,carrefour carrefour selection; carrefour selection carrefour; carrefour selection,Carrefour Sélection,Carrefour Sélection,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,12,Espresso decaffeinato | Virgin Mojito | Passion Mangue Saveur Citronnelle | Jus de Fraise et Framboise | Menthe poivrée
France,FRANCE|SOUTHERN_EUROPE,beverages,carrefour simpl; carrefour carrefour discount; carrefour discount simpl produits blancs,Simpl,Simpl,manual_review_private_label_line,curated_private_label_mapping,curated Carrefour private-label mapping requires manual confirmation,12,Nectar multifruits | Robusta Moulu | Pomme | Orange Jus à base de concentré | Expresso Capsules
France,FRANCE,dairies,carrefour carrefour extra; carrefour extra,Carrefour Extra,Carrefour Extra,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,11,Parmigiano reggiano | Emmental Français Est-Central Grand Cru au Lait Cru | Crème fraîche | Beurre de montagne doux | Yaourt délicieux noix de coco
France,FRANCE,snacks,carrefour discount; carrefour carrefour discount; carrefour discount carrefour; carrefour discount girard; simpl; simpl carrefour,Simpl,Simpl,manual_review_private_label_line,curated_private_label_mapping,curated Carrefour private-label mapping requires manual confirmation,11,"Galettes Bretonnes au Beurre et aux Œufs Frais | Assortiment de biscuits salés, Crackers | Tortilla chips Chili | Biscuits tablette chocolat au lait | Biscuits tablette chocolat noir"
France,FRANCE,beverages,carrefour carrefour kids; carrefour kids; carrefour kids carrefour kids bio carrefour,Carrefour Kids,Carrefour Kids,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,10,MiniFruity Saveur Orange | Multifruits kids bio | Nectar d'Orange Bio | Mini fruity | Eau minérale naturelle des alpes
France,FRANCE,beverages,carrefour carrefour classic; carrefour classic; carrefour classic'; classic carrefour carrefour,Carrefour Classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,9,Saveur grenadine | Carrefour Orzo Solubile | Chicoree nature | Eau minérale naturelle pétillante | Eau de source de montagne d'auvergne
France,FRANCE|SOUTHERN_EUROPE,snacks,carrefour carrefour classic; carrefour carrefour classic'; carrefour classic carrefour,Carrefour Classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,9,Sablés coeur saveur pomme façon tatin | Mini circle goût fraise | Mini Circle Goût chocolat | Aros de chocolate blanco | Tartelette goût framboise
France,FRANCE,dairies,carrefour carrefour original; carrefour original; carrefour original carrefour,Carrefour Original,Carrefour Original,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,9,Brique de brebis doux et crémeux | Île flottante à la Vanille | Petit pot de crème saveur vanille aux oeufs frais | Petit Pot de Crème au Café | Tiramisu à la Framboise
France,FRANCE,dairies,carrefour carrefour selection; carrefour selection; carrefour selection carrefour; carrefour selection groupe carrefour; selection carrefour,Carrefour Sélection,Carrefour Sélection,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,9,Noord-Hollandse Gouda AOP Jeune - Goût doux et crémeux | Feta AOP | Yaourt & crème Citron | Mousse framboise avec sa génoise | POT DE CRÈME au Caramel
Belgium,BENELUX|FRANCE,dairies,carrefour simpl; simpl,Simpl,Simpl,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,9,SIMPL Lait entier | SIMPL Lait demi-écrémé | SIMPL Lait écrémé | Simpl Spécialité au Fromage Frais | Simpl Spécialité Laitière Aromatisée et Sucrée aux Fruits
Belgium,BENELUX|FRANCE|SOUTHERN_EUROPE,cereals,carrefour bio carrefour; carrefour bio,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,8,"Croustillant fruits rouges | Pétales au chocolat blé complet | Muesli 35 fruits, noix et graines | Croustillant 3 noix | Muesli de quinoa y chocolate"
France,FRANCE,snacks,carrefour classic; carrefour carrefour classic'; carrefour carrefour classic,Carrefour Classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,8,pain au lait Carrefour | Nature | brioche tranchée | Toons Goût Chocolat 🍫 | Woopy
France,FRANCE|SOUTHERN_EUROPE,snacks,carrefour carrefour extra; carrefour extra carrefour; carrefour extra; extra carrefour,Carrefour Extra,Carrefour Extra,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,8,Mini Panettone | Mini Panettone avec pépites de chocolat | Apero toasts | Gaufrettes goût fraise | Gaufrettes Praliné noisettes
Belgium,BENELUX|FRANCE,snacks,carrefour carrefour original,Carrefour Original,Carrefour Original,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,8,Mini Gaufres avec Fantaisie au Cacao | Carrefour Original Galettes Nature 6 x 2 Pièces | Carrefour Original Gaufres de Liège avec Fantaisie au Cacao | Gaufres Goût Vanille avec Fantaisie Cacao | Carrefour Original Galettes Parisiennes Nature 22 Pièces
Belgium,BENELUX|FRANCE,beverages,carrefour carrefour filiere qualite carrefour fqc; carrefour filiere qualite carrefour fqc,Filière Qualité Carrefour,Filière Qualité Carrefour,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,8,Filière Qualité Carrefour The Market Jus de Pomme-Poire | Filière Qualité Carrefour The Market Jus de Pomme | Filière Qualité Carrefour The Market Pomme Poire | Carrefour The Market FQC Jus de Pomme | Carrefour The Market FQC Jus de Pomme et poire
France,FRANCE|SOUTHERN_EUROPE,snacks,carrefour reflets de france; reflets de france,Reflets de France,Reflets de France,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,8,Nougat de Montélimar | Croquants aux amandes | Brioche vendéenne Igp | Pépites de chocolat | Canistrelli aux noisettes
Belgium,BENELUX|FRANCE,snacks,carrefour bio carrefour; carrefour bio,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,7,"Carrefour Bio Chips Lentilles | Gaufres au miel | Sablés au beurre, amandes et citron | Carrefour Bio Pain Graines de Sésame et Raisins | Tortilla chips chili"
France,FRANCE,snacks,carrefour extra; carrefour carrefour extra,Carrefour Extra,Carrefour Extra,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,7,Mini Panettone | Sapin brioché coeur fondant chèvre tomate | 6 canelés de Bordeaux | 12 Canelés de Bordeaux | Cigarettes
France,FRANCE,dairies,carrefour carrefour kids; carrefour kids; carrefour kids carrefour,Carrefour Kids,Carrefour Kids,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,7,Mini gouda | Mousse au chocolat | Fromage blanc nature sucré | Mousse aux fruits | Flan' chocolat
France,FRANCE,beverages,carrefour carrefour sensation; carrefour sensation carrefour; carrefour sensation; carrefour sensation marque carrefour,Carrefour Sensation,Carrefour Sensation,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,7,Ice tea saveur pêche zéro sucres | Cola Saveur Vanille | Fruity mix sirop pêche abricot | Orange carotte | Gout chocolat noisette
France,FRANCE|SOUTHERN_EUROPE,beverages,carrefour carrefour sensation; carrefour carrefour sensation vegetal; carrefour carrefour sensationcarrefour,Carrefour Sensation,Carrefour Sensation,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,7,Ethiopia | Brazil | Citronnade | Dolce | Thé vert nature
France,FRANCE,dairies,carrefour baby; carrefour baby carrefour; carrefour baby carrefour recettes pensees par ghislaine arabian; carrefour carrefour baby,My Carrefour Baby,My Carrefour Baby,manual_review_private_label_line,curated_private_label_mapping,curated Carrefour private-label mapping requires manual confirmation,7,"Lait et cereales vanille, des 6 mois | Crème Dessert Saveur Vanille | Brassé Fraise | Lait de croissance de 10 mois à 3 ans | Lait croissance - 10 mois à 3 ans"
Belgium,BENELUX|FRANCE,snacks,simpl; carrefour discount carrefour; carrefour simpl; simpl carrefour,Simpl,Simpl,manual_review_private_label_line,curated_private_label_mapping,curated Carrefour private-label mapping requires manual confirmation,7,Barres céréales Goût Pomme Abricot | Simpl Frangipanes à l'Abricot 6 Pièces | Simpl Gaufres de Liège | Simpl Assortiment Oeufs Plein | Simpl Assortiment Oeufs Praliné
Belgium,BENELUX|FRANCE,beverages,carrefour bio carrefour; carrefour bio,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,6,Carrefour Bio Gingembre Hibiscus & Citron Shot | Jus de pomme | Sirop de menthe | Sirop de grenadine | Pur jus d'orange
France,FRANCE|SOUTHERN_EUROPE,dairies,carrefour carrefour classic; carrefour classic carrefour; carrefour classic',Carrefour Classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,6,FRUTAS pêche | Nata montada ligera | Bifidus pruneau | Yogur líquido edulcorado 0% grasa 0% azúcares | Maxi petit fresa
France,FRANCE|SOUTHERN_EUROPE,snacks,carrefour sensation carrefour; carrefour carrefour sensation; carrefour sensation,Carrefour Sensation,Carrefour Sensation,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,6,Vitality* Sésame | Crakeo | COEUR à la Menthe | Bubble & Chock Fourrage au praliné | Galletas de barquillo de chocolate
France,FRANCE|SOUTHERN_EUROPE,dairies,carrefour reflets de france,Reflets de France,Reflets de France,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,6,Abondance AOP | Roquefort lait cru de brebis | Raclette de Savoie IGP | Reblochon de Savoie AOP | Camembert de Normandie AOP au lait cru
France,FRANCE|SOUTHERN_EUROPE,dairies,carrefour carrefour extra; carrefour extra,Carrefour Extra,Carrefour Extra,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,5,Pecorino Romano AOP | Burrito di bufala | PARMIGIANO REGGIANO AOP en copeaux Plus de 12 mois d'affinage | Parmigiano reggiano | PARMIGIANO REGGIANO AOP Plus de 18 mois
France,FRANCE,snacks,carrefour kids carrefour; carrefour carrefour kids; carrefour kids,Carrefour Kids,Carrefour Kids,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,5,Biscuits fourres gout vanille | BREAKS Goût tout Chocolat | Breakz goût chocolat | Breaks chocolat x2 | FUN BOX
France,FRANCE|SOUTHERN_EUROPE,snacks,carrefour carrefour kids,Carrefour Kids,Carrefour Kids,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,5,Toons goût chocolat | Marshmallows | Mini Circle Goût chocolat | Tikito au chocolat au lait | Choco fourré
Belgium,BENELUX|FRANCE,dairies,carrefour selection; carrefour selection selection,Carrefour Sélection,Carrefour Sélection,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,5,Carrefour Selection Tête de Moine AOC | Carrefour Selection Noord-Hollandse Gouda Mi-Vieux tranches | Carrefour Selection Noord-Hollandse Gouda Vieux tranches | Carrefour Selection Fromage de Chèvre | Carrefour Selection Noord-Hollandse Gouda Jeune tranches
France,FRANCE|SOUTHERN_EUROPE,dairies,carrefour carrefour discount; carrefour simpl; carrefour discount,Simpl,Simpl,manual_review_private_label_line,curated_private_label_mapping,curated Carrefour private-label mapping requires manual confirmation,5,Mozzarella | Brie | Yaourt demi-écrémé aux fruits | Emmental râpé | Fromages râpés
Belgium,BENELUX|FRANCE|SOUTHERN_EUROPE,dairies,carrefour bio carrefour; carrefour bio,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,4,Fromages frais aux fruits | GOUDA Tranches | Carrefour Bio Yaourt Nature Maigre | Parmigiano Reggiano AOP
Belgium,BENELUX|FRANCE|SOUTHERN_EUROPE|DACH,cereals,carrefour bio carrefour,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,4,Muesli floconneux 30% de fruits secs | Croustillant Chocolat quinoa | Croustillant Graines de courge et de tournesol | Flocons d'avoine
France,FRANCE|SOUTHERN_EUROPE,beverages,carrefour carrefour classic; carrefour carrefour classic',Carrefour Classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,4,Tropical | Zéro Sucre Saveur Citron | Infusion saveur fruits rouges | Cacao intense
France,FRANCE,snacks,carrefour original; carrefour carrefour original,Carrefour Original,Carrefour Original,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,4,Les madeleines au Beurre d'Isigny | Pépites de chocolat | Sprits | GOM'S
France,FRANCE,dairies,carrefour sensation carrefour; carrefour carrefour sensation; carrefour sensation,Carrefour Sensation,Carrefour Sensation,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,4,High protein | Cappuccino | High protein Myrtille | Yab parfum fraise-banane
Belgium,BENELUX|FRANCE|SOUTHERN_EUROPE,beverages,carrefour bio carrefour,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,Poudre cacaotée 32 % de cacao maigre | Amande Sans sucres | 100% pur jus Raisin
Belgium,BENELUX|FRANCE,dairies,carrefour extra,Carrefour Extra,Carrefour Extra,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,Gouda Holland Jeune | Carrefour Extra Cottage Cheese | Carrefour Extra Yaourt Style Grecque Entier
France,FRANCE,cereals,carrefour kids; carrefour carrefour kids,Carrefour Kids,Carrefour Kids,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,Milkis au Lait | Choco Numbers | Croc ball
France,FRANCE|SOUTHERN_EUROPE,dairies,carrefour kids carrefour,Carrefour Kids,Carrefour Kids,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,Petit | Maxi petit
France,FRANCE,snacks,carrefour carrefour sensation; carrefour sensation,Carrefour Sensation,Carrefour Sensation,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,Végétal Snack pops Saveur Tomate & Basilic | CROUSTI Saveur Poulet Rôti Craquantes & Savoureuses | Crousti saveur chèvre et piment d'espelette
Belgium,BENELUX|FRANCE,snacks,carrefour selection,Carrefour Sélection,Carrefour Sélection,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,Mini twists | Carrefour Extra Tomate Basilic | Carrefour Selection Cheese Snacks aux 3 Graines
France,FRANCE|SOUTHERN_EUROPE,beverages,carrefour reflets de france,Reflets de France,Reflets de France,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,"Reflets de France,Carrefour | Cidre de Bretagne IGP Artisanal"
Belgium,BENELUX|FRANCE,cereals,carrefour bio carrefour,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,2,Carrefour Bio Granola avec Quinoa | Carrefour Bio Granola au Miel
Belgium,BENELUX|FRANCE,dairies,carrefour carrefour classic; carrefour classic,Carrefour Classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,2,Car fromage frais 0% | Carrefour Classic' No Lactose ! Lait 1.2% M.G.
Belgium,BENELUX|FRANCE|SOUTHERN_EUROPE,dairies,carrefour carrefour classic; carrefour classic',Carrefour Classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,2,Pointe de Brie | Coulommiers
Belgium,BENELUX|FRANCE|SOUTHERN_EUROPE,snacks,carrefour carrefour classic,Carrefour Classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,2,Petit beurre original | Stick & Choc Chocolat au lait
France,FRANCE,beverages,carrefour carrefour extra; carrefour extra carrefour,Carrefour Extra,Carrefour Extra,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,2,Jus de tomate | Orange sanguine 100% pur jus Jus d'orange sanguine. Flash pasteurisé. Réfrigéré.
France,FRANCE|SOUTHERN_EUROPE,beverages,carrefour carrefour extra,Carrefour Extra,Carrefour Extra,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,2,100% PUR JUS Pomme | 100% pur jus ananas origine costa rica
Belgium,BENELUX|FRANCE,dairies,carrefour carrefour kids; carrefour kids carrefour,Carrefour Kids,Carrefour Kids,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,2,Choco'lait | Carrefour Kids Lait Demi-Ecrémé
France,FRANCE|SOUTHERN_EUROPE,beverages,carrefour carrefour kids; carrefour kids carrefour,Carrefour Kids,Carrefour Kids,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,2,Fiestabul Jus de pomme pétillant | Kaomix
Belgium,BENELUX|FRANCE,dairies,carrefour carrefour sensation; carrefour sensation,Carrefour Sensation,Carrefour Sensation,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,2,Carrefour Sensation Skyr Vanille 0% M.G. | Carrefour Sensation Apero Time Gouda & Cheddar
Belgium,BENELUX|FRANCE,dairies,carrefour carrefour filiere qualite carrefour fqc,Filière Qualité Carrefour,Filière Qualité Carrefour,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,2,Filière Qualité Carrefour Extra Lait Demi-Écrémé | Filière Qualité Carrefour Fromage de Herve AOP
France,FRANCE,dairies,filiere qualite carrefour carrefour,Filière Qualité Carrefour,Filière Qualité Carrefour,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,2,Lait frais entier microfiltré | Camembert de Normandie AOP au lait cru
France,FRANCE|SOUTHERN_EUROPE,cereals,carrefour carrefour discount,Simpl,Simpl,manual_review_private_label_line,curated_private_label_mapping,curated Carrefour private-label mapping requires manual confirmation,2,Boules De CÉRÉALES
Austria,DACH|BENELUX|FRANCE,beverages,carrefour bio carrefour,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Carrefour Bio Gingembre Curcuma & Citron Shot
Belgium,BENELUX|FRANCE|SOUTHERN_EUROPE|DACH,snacks,carrefour bio,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Galleta de mantequilla con tableta de chocolate con leche
Czech Republic,FRANCE,beverages,carrefour bio,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Lait d’amande
France,FRANCE|DACH,beverages,carrefour bio,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,
France,FRANCE|DACH,dairies,carrefour bio carrefour,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Lait demi-écrémé Stérilisé UHT
France,FRANCE|SOUTHERN_EUROPE|DACH,cereals,carrefour bio carrefour,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Cereales corn flakes
France,FRANCE|SOUTHERN_EUROPE|UK_IE,beverages,carrefour bio carrefour,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,JUS DE CLÉMENTINE 100% pur jus
United Kingdom,UK_IE,snacks,carrefour carrefour bio,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,tartelettes a la framboise
United States,US_CANADA,beverages,carrefour bio,Carrefour Bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Boisson au soja Bio
Belgium,BENELUX|FRANCE,beverages,carrefour classic carrefour,Carrefour Classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Cola zero*
Belgium,BENELUX|FRANCE,snacks,carrefour carrefour classic',Carrefour Classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,1,Crackers Goût Pizza
