matched_top9_company_group,matched_top9_brand,matched_brand_key,candidate_orphan_brand,candidate_orphan_brand_key,current_company_owner,proposed_company_owner_candidates,query_category,primary_country,observed_market_region_codes,match_rule,product_count,example_product_names,example_off_brands_raw,example_barcodes,example_image_urls,suggested_action,review_decision,review_note,final_company_owner,apply_to_mapping,apply_to_mapping_bool,review_decision_clean,target_company_owner,target_normalized_brand,target_primary_brand_db,target_brand_key,target_company_key,product_count_num,applied_by_script
Kraft Heinz,Wyler's,wyler s,wylers light,wylers light,Other / not mapped to a company,Kraft Heinz,beverages,United States,US_CANADA,brand_prefix_concatenated_review,24,Soft drink mix | Low calorie soft drink mix | Light strawberry lemonade | Low Calorie Drink Mix | Light sugar free half half iced tea with lemonade,"Wyler's Light | Wyler's Light, The Jel Sert Company | Wyler's Light, The Jel Sert Co.",52392351338 | 72392347841 | 72392351015 | 72392351022 | 72392351060,https://images.openfoodfacts.org/images/products/007/239/235/1015/front_en.5.400.jpg | https://images.openfoodfacts.org/images/products/007/239/235/1022/front_en.5.400.jpg | https://images.openfoodfacts.org/images/products/007/239/235/1091/front_en.5.400.jpg,review_prefix_candidate,approve proposed,Wyler's variant/company string.,Kraft Heinz,True,True,approve proposed,Kraft Heinz,Wyler's,wylers light,wylers light,kraft heinz,24,True
Nestlé,Essentia,essentia,essential waitrose,essential waitrose,Other / not mapped to a company,Nestlé,dairies,United Kingdom,UK_IE,brand_prefix_concatenated_review,23,Semi skimmed milk | Skimmed Milk | Waitrose semi-skimmed milk | English Mature Sliced Cheddar Slices | Low fat natural cottage cheese made from pasteurised milk,"Essential Waitrose | Essential Waitrose, Waitrose | Essential Waitrose,Waitrose | essential waitrose | ESSENTIAL WAITROSE",4210153 | 5000169015278 | 5000169015285 | 5000169015308 | 5000169026021,https://images.openfoodfacts.org/images/products/500/016/901/5278/front_en.10.400.jpg | https://images.openfoodfacts.org/images/products/500/016/901/5285/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/500/016/901/5308/front_en.5.400.jpg,review_prefix_candidate,reject prefix match / map to Waitrose,"False prefix: Essential Waitrose is Waitrose private-label, not Nestlé Essentia.",Waitrose,True,False,reject prefix match / map to Waitrose,Waitrose,Essentia,essential waitrose,essential waitrose,waitrose,23,False
Danone,Blédina,bledina,Blédina,bledina,Other / not mapped to a company,Danone,dairies,France,FRANCE,exact_brand_match,22,Blédilait Croissance | Blédîner Semoule vanille et fleur d'oranger | BLEDINA BLEDINER BRIQUES Carottes petits pois 2X250 ML Dès 12 mois | BLEDINA BLEDINER BRIQUES Epinards 2x250ml Dès 6 mois | Blédi'Délice chocolat,"blédina | Blédina | BLEDINA, Blédiner | Blédina, Danone | Blédilait, Blédina, Danone",3041090002304 | 3041090005343 | 3041090013812 | 3041090013836 | 3041090016806,https://images.openfoodfacts.org/images/products/304/109/000/2304/front_fr.9.400.jpg | https://images.openfoodfacts.org/images/products/304/109/001/3812/front_fr.5.400.jpg | https://images.openfoodfacts.org/images/products/304/109/001/3836/front_fr.14.400.jpg,review_prefix_candidate,approve proposed,Blédina variant/company string.,Danone,True,True,approve proposed,Danone,Blédina,Blédina,bledina,danone,22,True
Mondelez,Chips Ahoy!,chips ahoy,Chips Ahoy!,chips ahoy,Other / not mapped to a company,Mondelez International,snacks,United States,US_CANADA,exact_brand_match,18,"Minis | Reese’s Cookies | Chunky | Chips Ahoy! Chewy | Chips Ahoy!, Soft Chunky Original Cookies, Original",Chips Ahoy! | Chips Ahoy | Chips ahoy,44000006792 | 44000024567 | 44000029548 | 44000033392 | 44000044664,https://images.openfoodfacts.org/images/products/004/400/000/6792/front_en.36.400.jpg | https://images.openfoodfacts.org/images/products/004/400/002/4567/front_en.6.400.jpg | https://images.openfoodfacts.org/images/products/004/400/002/9548/front_en.11.400.jpg,review_prefix_candidate,approve proposed,Chips Ahoy! variant/company string.,Mondelēz International,True,True,approve proposed,Mondelēz International,Chips Ahoy!,Chips Ahoy!,chips ahoy,mondelez international,18,True
Mondelez,Milka,milka,milkana,milkana,Other / not mapped to a company,Mondelez International,dairies,France,FRANCE,brand_prefix_concatenated_review,18,So good! - saveur fraise | So Good banana flavour | Stick au fromage | Pocket banane saveur vanille | Spécialité fromagère au gouda (21% M.G.),"Milkana, Savencia",3451790012624 | 3451790012631 | 3451790016226 | 3451790016769 | 3451790167492,https://images.openfoodfacts.org/images/products/345/179/001/2624/front_fr.14.400.jpg | https://images.openfoodfacts.org/images/products/345/179/001/2631/front_fr.9.400.jpg | https://images.openfoodfacts.org/images/products/345/179/001/6226/front_fr.3.400.jpg,review_prefix_candidate,reject prefix match / keep Other,False prefix: Milkana/Milkadamia/Milkaut are not Milka.,Other / not mapped to a company,False,False,reject prefix match / keep Other,Other / not mapped to a company,Milka,milkana,milkana,other not mapped to a company,18,False
Hershey,Reese's,reese s,Reese's,reeses,Other / not mapped to a company,The Hershey Company,snacks,France,FRANCE|US_CANADA,brand_prefix_concatenated_review,18,Reese's Puffs Treats | Snack mix | Popped snack mix | PEANUT BUTTER CUPS HILL CHOCOLATE & PEANUT BUTTER | Milk chocolate peanut butter cups,Reese's | Reese s,16000144811 | 34000210787 | 34000214662 | 34000402113 | 34000402212,https://images.openfoodfacts.org/images/products/001/600/014/4811/front_en.32.400.jpg | https://images.openfoodfacts.org/images/products/003/400/021/0787/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/003/400/021/4662/front_en.13.400.jpg,review_prefix_candidate,approve proposed,Reese's spelling/combined-brand variant.,The Hershey Company,True,True,approve proposed,The Hershey Company,Reese's,Reese's,reeses,the hershey company,18,True
Danone,Dannon,dannon,dannon light fit,dannon light fit,Other / not mapped to a company,Danone,dairies,United States,US_CANADA,brand_prefix_with_separator,17,light+fit peach | Original vanilla | Greek toasted marshmallow | Greek strawberry cheesecake | key lime pie,Dannon Light + Fit | DANNON LIGHT + FIT | Dannon LIGHT + FIT | Dannon Light+Fit,36632013088 | 36632013095 | 36632013293 | 36632024947 | 36632024954,https://images.openfoodfacts.org/images/products/003/663/201/3088/front_en.7.400.jpg | https://images.openfoodfacts.org/images/products/003/663/201/3095/front_en.5.400.jpg | https://images.openfoodfacts.org/images/products/003/663/201/3293/front_en.17.400.jpg,review_prefix_candidate,approve proposed,Dannon variant/company string.,Danone,True,True,approve proposed,Danone,Dannon,dannon light fit,dannon light fit,danone,17,True
Nestlé,Gourmet,gourmet,gourmet select,gourmet select,Other / not mapped to a company,Nestle,snacks,United States,US_CANADA,brand_prefix_with_separator,17,"Gourmet select, holiday popcorn tin | Gourmet select, holiday popcorn, caramel, cheese & butter | Gourmet select, premium air popped popcorn, white cheddar | Gourmet select, pretzel chips, chcolate | Gourmet select, dipped pretzel chips, white chocolate","Gourmet Select, Gourmet Gift Concepts | Gourmet Select",811627020094 | 811627020117 | 811627020377 | 811627020407 | 811627020414,,review_prefix_candidate,reject prefix match / keep Other,False/generic prefix: Gourmet* here is not Nestlé Gourmet.,Other / not mapped to a company,False,False,reject prefix match / keep Other,Other / not mapped to a company,Gourmet,gourmet select,gourmet select,other not mapped to a company,17,False
Nestlé,Fitness,fitness,Fitness,fitness,Other / not mapped to a company,Cereal Partners Worldwide,cereals,France,FRANCE,exact_brand_match,16,Fitness Croquant d'Avoine - Pépites croustillantes d'avoine au bon goût de miel | Fitness Croquant d'avoine | Fitness Bio | Fitness nutritious energy CHOCOLATE | Nestle fitness honey and almond,"Nestlé, Fitness | Fitness",2000000064050 | 35033141 | 4390834479483 | 5900020020932 | 7613032309459,https://images.openfoodfacts.org/images/products/200/000/006/4050/front_fr.6.400.jpg | https://images.openfoodfacts.org/images/products/000/003/503/3141/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/439/083/447/9483/front_fr.3.400.jpg,review_prefix_candidate,map to Cereal Partners Worldwide,Fitness cereal/snack-cereal line in Europe; route to CPW for launch.,Cereal Partners Worldwide,True,True,map to Cereal Partners Worldwide,Cereal Partners Worldwide,Fitness,Fitness,fitness,cereal partners worldwide,16,True
PepsiCo,Lay's,lay s,Lay’s,lays,Other / not mapped to a company,PepsiCo,snacks,France,FRANCE|SOUTHERN_EUROPE,brand_prefix_concatenated_review,16,Lay's Paysanne saveur fromage frais ail de Garonne et fines herbes | Horno Al punto de sal | Patatas fritas Cheese & Onion bolsa 170 g | Al punto de sal | Lay's Campesina 133GR,"Lay's, Lays | Lay's | Lay´s | Lay's,PepsiCo",3168930167952 | 8410199002402 | 8410199006172 | 8410199006882 | 8410199008299,https://images.openfoodfacts.org/images/products/316/893/016/7952/front_fr.44.400.jpg | https://images.openfoodfacts.org/images/products/841/019/900/2402/front_es.140.400.jpg | https://images.openfoodfacts.org/images/products/841/019/900/6172/front_es.29.400.jpg,review_prefix_candidate,approve proposed,Lay's spelling/combined-brand variant.,PepsiCo,True,True,approve proposed,PepsiCo,Lay’s,Lay’s,lays,pepsico,16,True
Hershey,Reese's,reese s,Reese's,reeses,Other / not mapped to a company,The Hershey Company,snacks,France,FRANCE,brand_prefix_concatenated_review,16,Reese's Sticks | Reese's Nutrageous | Reese’s Nutrageous | resses | BIG CUP 2 MILK CHOCOLATE & PEANUT BUTTER CUPS,Reese's | Reese’s,3144550003160 | 34000000050 | 34000109395 | 340001094180 | 34000151271,https://images.openfoodfacts.org/images/products/314/455/000/3160/front_fr.10.400.jpg | https://images.openfoodfacts.org/images/products/003/400/000/0050/front_fr.28.400.jpg | https://images.openfoodfacts.org/images/products/003/400/010/9395/front_fr.45.400.jpg,review_prefix_candidate,approve proposed,Reese's spelling/combined-brand variant.,The Hershey Company,True,True,approve proposed,The Hershey Company,Reese's,Reese's,reeses,the hershey company,16,True
Nestlé,Vitaflo,vitaflo,vitaflor,vitaflor,Other / not mapped to a company,Nestlé,beverages,France,FRANCE,brand_prefix_concatenated_review,16,Camomille romaine | Camomille | Thé sauge | Vitaflor Sève De Bouleau 250ML | Tisane minceur détox goût naturel gingembre doux,"Vitaflor | Vitaflor, Vitaflor Bio",3175681003767 | 3175681003774 | 3175681004368 | 3175681068131 | 3175681082311,https://images.openfoodfacts.org/images/products/317/568/100/3767/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/317/568/100/3774/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/317/568/100/4368/front_fr.3.400.jpg,review_prefix_candidate,reject prefix match / keep Other,False prefix: Vitaflor is not Vitaflo.,Other / not mapped to a company,False,False,reject prefix match / keep Other,Other / not mapped to a company,Vitaflo,vitaflor,vitaflor,other not mapped to a company,16,False
PepsiCo,Pepsi,pepsi,pepsico,pepsico,Other / not mapped to a company,PepsiCo,beverages,France,FRANCE,brand_prefix_concatenated_review,14,"Pitch black soda | Rockstar kiwi watermelon | 7up | 7UP saveur mojito citron vert & menthe 1,5 L | Seven Up","Pepsico | Pepsico, Rockstar | PepsiCo | Pepsico, Seven up | pepsico",12000547409 | 3168930168881 | 3502110005694 | 3502110006271 | 4060800107008,https://images.openfoodfacts.org/images/products/001/200/054/7409/front_fr.10.400.jpg | https://images.openfoodfacts.org/images/products/316/893/016/8881/front_fr.42.400.jpg | https://images.openfoodfacts.org/images/products/350/211/000/5694/front_fr.15.400.jpg,review_prefix_candidate,approve proposed,Pepsi variant/company string.,PepsiCo,True,True,approve proposed,PepsiCo,Pepsi,pepsico,pepsico,pepsico,14,True
Nestlé,Fitness,fitness,Fitness,fitness,Other / not mapped to a company,Cereal Partners Worldwide,snacks,France,FRANCE,exact_brand_match,13,Granola bar | Fitness chocolat au lait | Barres Fitness Chocolat Blanc | Fitness crunchy caramel | Barre de céréales Fitness Crunchy Caramel,"Fitness, Hema | Nestlé | Nestlé, Fitness | Nestlé, Fitness, Fitness Délice | Fitness",2011570499994 | 5900020010261 | 5900020012012 | 5900020022370 | 5900020023377,https://images.openfoodfacts.org/images/products/201/157/049/9994/front_fr.10.400.jpg | https://images.openfoodfacts.org/images/products/590/002/001/0261/front_fr.9.400.jpg | https://images.openfoodfacts.org/images/products/590/002/001/2012/front_fr.7.400.jpg,review_prefix_candidate,map to Cereal Partners Worldwide,Fitness cereal/snack-cereal line in Europe; route to CPW for launch.,Cereal Partners Worldwide,True,True,map to Cereal Partners Worldwide,Cereal Partners Worldwide,Fitness,Fitness,fitness,cereal partners worldwide,13,True
Nestlé,Bakers,bakers,bakers corner,bakers corner,Other / not mapped to a company,Nestlé,snacks,United States,US_CANADA,brand_prefix_with_separator,12,Semi-Sweet Chocolate Baking Bar | Giant Marshmallows | Marshmallows | Mini Marshmallows | Semi-Sweet Chocolate Morsels,"Baker's Corner | Bakers corner | Baker's Corner, Aldi",4061459663495 | 4061459663549 | 4099100071856 | 4099100093216 | 4099100093223,https://images.openfoodfacts.org/images/products/406/145/966/3495/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/406/145/966/3549/front_en.12.400.jpg | https://images.openfoodfacts.org/images/products/409/910/007/1856/front_en.5.400.jpg,review_prefix_candidate,reject prefix match / keep Other,False/generic/private-label prefix: Baker(s)* here is not Nestlé Bakers.,Other / not mapped to a company,False,False,reject prefix match / keep Other,Other / not mapped to a company,Bakers,bakers corner,bakers corner,other not mapped to a company,12,False
Nestlé,Gourmet,gourmet,gourmet in love,gourmet in love,Other / not mapped to a company,Nestle,beverages,France,FRANCE,brand_prefix_with_separator,11,"Le thé Blanc | Café Saveur Noisette 125 g - Cafés Aromatisés - Gourmet In Love | Le Cacao , 200g | Le thé vert menthe | Le thé noir saveur figue, orange et miel",Gourmet in Love | Gourmet In Love | Gourmet in love,3662051000162 | 3662051000797 | 3662051000957 | 3662051003484 | 3662051003507,https://images.openfoodfacts.org/images/products/366/205/100/0162/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/366/205/100/0797/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/366/205/100/0957/front_fr.4.400.jpg,review_prefix_candidate,reject prefix match / keep Other,False/generic prefix: Gourmet* here is not Nestlé Gourmet.,Other / not mapped to a company,False,False,reject prefix match / keep Other,Other / not mapped to a company,Gourmet,gourmet in love,gourmet in love,other not mapped to a company,11,False
PepsiCo,Lay's,lay s,Lay’s,lays,Other / not mapped to a company,PepsiCo,snacks,United Kingdom,UK_IE,brand_prefix_concatenated_review,11,Karbowane chipsy | Lays | Lays Maxx | Cheese flavoured | Tomato lays,"Lay's | Lay's, Lays | Lay's, | Lays | Lay’s",5900259096746 | 5900259096777 | 5900259096869 | 5900259098191 | 5900259098269,https://images.openfoodfacts.org/images/products/590/025/909/6746/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/590/025/909/6777/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/590/025/909/6869/front_en.5.400.jpg,review_prefix_candidate,approve proposed,Lay's spelling/combined-brand variant.,PepsiCo,True,True,approve proposed,PepsiCo,Lay’s,Lay’s,lays,pepsico,11,True
Danone,Blédina,bledina,Blédina,bledina,Other / not mapped to a company,Danone,snacks,France,FRANCE,exact_brand_match,10,Bledina mon premier boudoir | Mon premier petit beurre pépites de chocolat | BLEDINA Mon Premier Petit Beurre 133g dès 12 mois | BLEDINA Les recoltes Bio Mon 1er Biscuit Vanille 150 g dès 12 mois | Mon premier biscuit,"Autres secs, Blédina, Blédiscuit, Danone | Autres secs, Blédina | Autres secs, Blédina, Danone | Blédina, Les recoltes bio | Bledina, Danone, Les recoltes bio",3041090010866 | 3041091200594 | 3041091200600 | 3041091346667 | 3041091346674,https://images.openfoodfacts.org/images/products/304/109/001/0866/front_fr.52.400.jpg | https://images.openfoodfacts.org/images/products/304/109/120/0594/front_fr.41.400.jpg | https://images.openfoodfacts.org/images/products/304/109/120/0600/front_en.33.400.jpg,review_prefix_candidate,approve proposed,Blédina variant/company string.,Danone,True,True,approve proposed,Danone,Blédina,Blédina,bledina,danone,10,True
Nestlé,Essentia,essentia,essential waitrose,essential waitrose,Other / not mapped to a company,Nestlé,snacks,United Kingdom,UK_IE,brand_prefix_concatenated_review,10,Cream Crackers | Fruit shortcake biscuits | Ginger Nuts | Malted milk biscuits | Rich tea biscuits,Essential Waitrose,5000169016671 | 5000169032534 | 5000169068830 | 5000169072646 | 5000169208564,https://images.openfoodfacts.org/images/products/500/016/901/6671/front_en.10.400.jpg | https://images.openfoodfacts.org/images/products/500/016/903/2534/front_en.11.400.jpg | https://images.openfoodfacts.org/images/products/500/016/906/8830/front_en.10.400.jpg,review_prefix_candidate,reject prefix match / map to Waitrose,"False prefix: Essential Waitrose is Waitrose private-label, not Nestlé Essentia.",Waitrose,True,False,reject prefix match / map to Waitrose,Waitrose,Essentia,essential waitrose,essential waitrose,waitrose,10,False
Nestlé,Gourmet,gourmet,gourmet finest cuisine,gourmet finest cuisine,Other / not mapped to a company,Nestle,snacks,France,FRANCE,brand_prefix_with_separator,10,Cheesecake Caramel salé | Briós X-mas Star | Pralines belges | Biscuits croustillants de Pâques | Sable de noel,"Gourmet Finest Cuisine,Aldi | Gourmet Finest Cuisine",2006050142941 | 4061464065208 | 4068261018369 | 4068262076108 | 4068262081461,https://images.openfoodfacts.org/images/products/200/605/014/2941/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/406/146/406/5208/front_hu.8.400.jpg | https://images.openfoodfacts.org/images/products/406/826/101/8369/front_fr.5.400.jpg,review_prefix_candidate,reject prefix match / keep Other,False/generic prefix: Gourmet* here is not Nestlé Gourmet.,Other / not mapped to a company,False,False,reject prefix match / keep Other,Other / not mapped to a company,Gourmet,gourmet finest cuisine,gourmet finest cuisine,other not mapped to a company,10,False
