raw_brand,cleaned_brand_key,approved_normalized_brand,alias_review_decision,mapping_source,review_reason,product_count,country_or_market,observed_market_region_codes,category,example_product_names
reflets de france,reflets de france,Reflets de France,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,9,France,FRANCE,snacks,brioche vendéenne reflets de France | Véritables madeleines de Commercy | Brioche vendéenne I.G.P | Sablés normands aux pommes | Mini Kouign Amann bretons pur beurre
reflets de france carrefour,reflets de france,Reflets de France,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,9,France,FRANCE,dairies,Saint felicien | Saint marcellin igp | Raclette de savoie igp au lait cru de vache | Mothais Poitevin sur feuille | Langres APPELLATION D'ORIGINE PROTEGEE
carrefour carrefour original,carrefour original,Carrefour Original,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,8,Belgium,BENELUX|FRANCE,snacks,Mini Gaufres avec Fantaisie au Cacao | Carrefour Original Galettes Nature 6 x 2 Pièces | Carrefour Original Gaufres de Liège avec Fantaisie au Cacao | Gaufres Goût Vanille avec Fantaisie Cacao | Carrefour Original Galettes Parisiennes Nature 22 Pièces
carrefour classic,carrefour classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,8,France,FRANCE,dairies,"emmenthal râpé fondant | Gruyère râpé | Mozzarella | TARTI'BON Ail & fines herbes | Fromage blanc nature 7,6% MG"
carrefour simpl,carrefour simpl,Simpl,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,8,Belgium,BENELUX|FRANCE,dairies,SIMPL Lait entier | SIMPL Lait demi-écrémé | SIMPL Lait écrémé | Simpl Spécialité au Fromage Frais | Simpl Spécialité Laitière Aromatisée et Sucrée aux Fruits
carrefour bio carrefour,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,7,Belgium,BENELUX|FRANCE|SOUTHERN_EUROPE,cereals,"Pétales au chocolat blé complet | Muesli 35 fruits, noix et graines | Croustillant 3 noix | Muesli de quinoa y chocolate | Corn flakes"
carrefour carrefour classic,carrefour classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,7,France,FRANCE,dairies,Emmental fran�ais | Emmental français | Beurre demi sel | Beurre extra fin doux | Fraiso'lait Goût Fraise
carrefour carrefour classic,carrefour classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,7,France,FRANCE|SOUTHERN_EUROPE,snacks,Mini circle goût fraise | Mini Circle Goût chocolat | Aros de chocolate blanco | Les Tablettes AU CHOCOLAT BLANC | Les Tablettes AU CHOCOLAT AU LAIT
carrefour carrefour kids,carrefour kids,Carrefour Kids,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,7,France,FRANCE,beverages,Mini fruity | Eau minérale naturelle des alpes | Pur jus pomme | Tropical | Pomme
carrefour carrefour original,carrefour original,Carrefour Original,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,7,France,FRANCE,dairies,Petit pot de crème saveur vanille aux oeufs frais | Petit Pot de Crème au Café | Tiramisu à la Framboise | Fromage au four | Petit Pot de Crème au Chocolat
carrefour selection,carrefour selection,Carrefour Sélection,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,7,France,FRANCE,beverages,"Douceur exotique | Orange Floride, 100 % Pur Jus Pressé | Ananas Costa Rica, 100 % Pur jus pressé | Raisin Litchi, 100 % Purs Fruits Pressés | Orange du Brésil 100% pur fruit pressé"
carrefour bio carrefour,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,6,Belgium,BENELUX|FRANCE,snacks,"Gaufres au miel | Sablés au beurre, amandes et citron | Carrefour Bio Pain Graines de Sésame et Raisins | Tortilla chips chili | Carrefour Bio Gaufres Flash aux Oeufs"
carrefour carrefour classic,carrefour classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,6,France,FRANCE,beverages,Chicoree nature | Eau minérale naturelle pétillante | Eau de source de montagne d'auvergne | Sirop-pêche | Sirop
carrefour carrefour filiere qualite carrefour fqc,filiere qualite carrefour,Filière Qualité Carrefour,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,6,Belgium,BENELUX|FRANCE,beverages,Filière Qualité Carrefour The Market Pomme Poire | Carrefour The Market FQC Jus de Pomme | Carrefour The Market FQC Jus de Pomme et poire | Filière Qualité Carrefour The Market Jus de Pomme-Cerise | Filière Qualité Carrefour The Market Jus de Pomme
carrefour carrefour selection,carrefour selection,Carrefour Sélection,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,6,France,FRANCE,snacks,Galette des rois frangipane | LAIT Extra fin | MOUSSE PISTACHE sur lit de chocolat noir | Galette des rois | Galette des Rois Frangipane à la pâte d'amandes
carrefour discount,carrefour discount,Simpl,manual_review_private_label_line,curated_private_label_mapping,curated Carrefour private-label mapping requires manual confirmation,6,France,FRANCE,snacks,"Galettes Bretonnes au Beurre et aux Œufs Frais | Assortiment de biscuits salés, Crackers | Tortilla chips Chili | Biscuits tablette chocolat au lait | Biscuits tablette chocolat noir"
carrefour extra,carrefour extra,Carrefour Extra,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,6,France,FRANCE,snacks,Mini Panettone | Sapin brioché coeur fondant chèvre tomate | 6 canelés de Bordeaux | 12 Canelés de Bordeaux | Cigarettes
carrefour reflets de france,reflets de france,Reflets de France,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,6,France,FRANCE|SOUTHERN_EUROPE,dairies,Abondance AOP | Roquefort lait cru de brebis | Raclette de Savoie IGP | Reblochon de Savoie AOP | Camembert de Normandie AOP au lait cru
carrefour reflets de france,reflets de france,Reflets de France,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,6,France,FRANCE|SOUTHERN_EUROPE,snacks,Nougat de Montélimar | Croquants aux amandes | Brioche vendéenne Igp | Pépites de chocolat | Canistrelli aux noisettes
carrefour selection carrefour,carrefour selection,Carrefour Sélection,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,6,France,FRANCE|SOUTHERN_EUROPE,snacks,Florentins sur lit de chocolat au lait | Crêpe dentelle au chocolat noir | Craquants au caramel | Café éclats de fèves de cacao noir | Saveurs citron vert citron & gingembre noir
carrefour bio,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,5,Belgium,BENELUX|FRANCE,dairies,yaourt à la greque | Carrefour Bio Fromage Frais Nature | Carrefour Bio Yaourt Entier Vanille | Carrefour Bio Beurre de Baratte Salé | Carrefour Bio Yaourt Brassé Nature Entier
carrefour bio carrefour,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,5,Belgium,BENELUX|FRANCE,beverages,Jus de pomme | Sirop de menthe | Sirop de grenadine | Pur jus d'orange | Carrefour Bio Gingembre Citron Shot
carrefour carrefour discount,carrefour discount,Simpl,manual_review_private_label_line,curated_private_label_mapping,curated Carrefour private-label mapping requires manual confirmation,5,France,FRANCE|SOUTHERN_EUROPE,snacks,Sucettes Lolly's - goûts fruits & cola | Petit beurre | Chocolat au lait | 3 Tablettes de Chocolat Noir | Galettes au beurre
carrefour carrefour kids,carrefour kids,Carrefour Kids,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,5,France,FRANCE|SOUTHERN_EUROPE,snacks,Toons goût chocolat | Marshmallows | Mini Circle Goût chocolat | Tikito au chocolat au lait | Choco fourré
carrefour carrefour selection,carrefour selection,Carrefour Sélection,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,5,France,FRANCE,dairies,Mousse framboise avec sa génoise | POT DE CRÈME au Caramel | POT DE CRÈME | Mousse au café | Tiramisu
carrefour carrefour sensation,carrefour sensation,Carrefour Sensation,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,5,France,FRANCE|SOUTHERN_EUROPE,beverages,Ethiopia | Brazil | Citronnade | Dolce | Thé vert nature
carrefour classic,carrefour classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,5,France,FRANCE,snacks,pain au lait Carrefour | Nature | brioche tranchée | Toons Goût Chocolat 🍫 | Chips Saveur spicy* *épicé
reflets de france carrefour,reflets de france,Reflets de France,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,5,France,FRANCE,snacks,Couronnes du Roussillon à l'anis | Kouign amann breton | Gâteau Basque à la cerise noire | Brioche vendéenne tranchée IGP | Canistrelli corses
carrefour bio,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,4,Belgium,BENELUX|FRANCE|SOUTHERN_EUROPE,snacks,Chocolate negro | Chocolate con leche con avellanas caramelizadas | Biscuit Croustillant Blé Et Avoine | Tableta chocolate negro 85%
carrefour bio,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,4,France,FRANCE|SOUTHERN_EUROPE,dairies,Queso de untar bio | Parmegiano Reggiano DOP | Bifidus Natural 0% | YAOURT CHEVRE BIO 0% (relook BIO esp)
carrefour bio,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,4,France,FRANCE|SOUTHERN_EUROPE,snacks,cookies bio chocolat noisette | Chips Nature Sel de Guérande | NOIR 80% Cacao Equateur | Barquette de chocolate
carrefour bio carrefour,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,4,Belgium,BENELUX|FRANCE|SOUTHERN_EUROPE|DACH,cereals,Muesli floconneux 30% de fruits secs | Croustillant Chocolat quinoa | Croustillant Graines de courge et de tournesol | Flocons d'avoine
carrefour carrefour bio,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,4,France,FRANCE|SOUTHERN_EUROPE,beverages,Infusion 4 plantes | Lait de soja | Lait d'amande | Nectar de Mangue
carrefour carrefour extra,carrefour extra,Carrefour Extra,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,4,France,FRANCE|SOUTHERN_EUROPE,snacks,Apero toasts | Gaufrettes goût fraise | Gaufrettes Praliné noisettes | Galettes suédoises aux flocons d'avoine
carrefour selection,carrefour selection,Carrefour Sélection,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,4,Belgium,BENELUX|FRANCE,dairies,Carrefour Selection Noord-Hollandse Gouda Mi-Vieux tranches | Carrefour Selection Noord-Hollandse Gouda Vieux tranches | Carrefour Selection Fromage de Chèvre | Carrefour Selection Noord-Hollandse Gouda Jeune tranches
carrefour simpl,carrefour simpl,Simpl,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,4,France,FRANCE,beverages,Multivitamines 10 fruits | JUS DE Citron vert À base de concentré | Café Soluble Corsé | 100% PUR FRUIT PRESSE ORANGE Jus d'orange
carrefour simpl,carrefour simpl,Simpl,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,4,France,FRANCE,dairies,Emmental | Crème légère fluide 12% MAT.GR. | 12 yaourts Nature | 12 yaourts aux fruits
simpl,simpl,Simpl,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,4,Belgium,BENELUX|FRANCE,snacks,Simpl Gaufres de Liège | Simpl Assortiment Oeufs Plein | Simpl Assortiment Oeufs Praliné | Simpl Gaufres Waffle avec Fantaisie au Cacao
carrefour baby,carrefour baby,My Carrefour Baby,manual_review_private_label_line,curated_private_label_mapping,curated Carrefour private-label mapping requires manual confirmation,3,France,FRANCE,dairies,"Lait et cereales vanille, des 6 mois | Crème Dessert Saveur Vanille | Brassé Fraise"
carrefour bio,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,France,FRANCE|SOUTHERN_EUROPE,beverages,Pur jus de citron | NECTAR De Pomme à base de concentré* Sans sucres ajoutés** | Drink soia
carrefour bio carrefour,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,Belgium,BENELUX|FRANCE|SOUTHERN_EUROPE,beverages,Poudre cacaotée 32 % de cacao maigre | Amande Sans sucres | 100% pur jus Raisin
carrefour bio carrefour,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,Belgium,BENELUX|FRANCE|SOUTHERN_EUROPE,dairies,GOUDA Tranches | Carrefour Bio Yaourt Nature Maigre | Parmigiano Reggiano AOP
carrefour carrefour bio,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,France,FRANCE,dairies,Emmental francais | Raclette Bio (27% MG) | Bifidus Nature
carrefour carrefour classic,carrefour classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,France,FRANCE|SOUTHERN_EUROPE,beverages,Tropical | Zéro Sucre Saveur Citron | Cacao intense
carrefour carrefour classic,carrefour classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,France,FRANCE|SOUTHERN_EUROPE,dairies,Nata montada ligera | Bifidus pruneau | Yogur líquido edulcorado 0% grasa 0% azúcares
carrefour carrefour classic',carrefour classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,France,FRANCE,dairies,Lait facile à digérer | Fromage blanc au lait de chevre nature | LAIT Facile à digérer*
carrefour carrefour extra,carrefour extra,Carrefour Extra,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,France,FRANCE|SOUTHERN_EUROPE,dairies,PARMIGIANO REGGIANO AOP en copeaux Plus de 12 mois d'affinage | Parmigiano reggiano | PARMIGIANO REGGIANO AOP Plus de 18 mois
carrefour carrefour kids,carrefour kids,Carrefour Kids,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,France,FRANCE,dairies,Flan' chocolat | crème dessert DUO goûts choco & lait | P'TIT CHOCO Goût CARAMEL
carrefour carrefour sensation,carrefour sensation,Carrefour Sensation,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,France,FRANCE,beverages,Fruity mix sirop pêche abricot | Orange carotte | Sirop Thé Pêche
carrefour discount,carrefour discount,Simpl,manual_review_private_label_line,curated_private_label_mapping,curated Carrefour private-label mapping requires manual confirmation,3,France,FRANCE,beverages,Cappucino sans sucres ajoutés | Eau de source | Sirop de Citron
carrefour discount,carrefour discount,Simpl,manual_review_private_label_line,curated_private_label_mapping,curated Carrefour private-label mapping requires manual confirmation,3,France,FRANCE,dairies,"Emmental | 12 Petits Suisses (10,4 % MG) | Lait concentré non sucré"
carrefour extra,carrefour extra,Carrefour Extra,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,Belgium,BENELUX|FRANCE,dairies,Gouda Holland Jeune | Carrefour Extra Cottage Cheese | Carrefour Extra Yaourt Style Grecque Entier
carrefour kids,carrefour kids,Carrefour Kids,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,France,FRANCE,dairies,Mini gouda | Mousse au chocolat | Fromage blanc nature sucré
carrefour kids carrefour,carrefour kids,Carrefour Kids,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,France,FRANCE,snacks,BREAKS Goût tout Chocolat | Breakz goût chocolat | Breaks chocolat x2
carrefour kids carrefour,carrefour kids,Carrefour Kids,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,France,FRANCE|SOUTHERN_EUROPE,dairies,Petit | Maxi petit
carrefour original,carrefour original,Carrefour Original,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,France,FRANCE,snacks,Les madeleines au Beurre d'Isigny | Pépites de chocolat | GOM'S
carrefour reflets de france,reflets de france,Reflets de France,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,France,FRANCE|SOUTHERN_EUROPE,beverages,"Reflets de France,Carrefour | Cidre de Bretagne IGP Artisanal"
carrefour selection,carrefour selection,Carrefour Sélection,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,Belgium,BENELUX|FRANCE,snacks,Mini twists | Carrefour Extra Tomate Basilic | Carrefour Selection Cheese Snacks aux 3 Graines
carrefour sensation carrefour,carrefour sensation,Carrefour Sensation,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,3,France,FRANCE|SOUTHERN_EUROPE,snacks,Crakeo | COEUR à la Menthe | Bubble & Chock Fourrage au praliné
carrefour baby carrefour,carrefour baby,My Carrefour Baby,manual_review_private_label_line,curated_private_label_mapping,curated Carrefour private-label mapping requires manual confirmation,2,France,FRANCE,dairies,Lait de croissance de 10 mois à 3 ans | Lait croissance - 10 mois à 3 ans
carrefour bio carrefour,carrefour bio,Carrefour Bio,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,2,Belgium,BENELUX|FRANCE,cereals,Carrefour Bio Granola avec Quinoa | Carrefour Bio Granola au Miel
carrefour carrefour classic,carrefour classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,2,Belgium,BENELUX|FRANCE|SOUTHERN_EUROPE,snacks,Petit beurre original | Stick & Choc Chocolat au lait
carrefour carrefour classic',carrefour classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,2,France,FRANCE,snacks,Nature | Galette des Rois Frangipane
carrefour carrefour discount,carrefour discount,Simpl,manual_review_private_label_line,curated_private_label_mapping,curated Carrefour private-label mapping requires manual confirmation,2,France,FRANCE,beverages,Sirop grenadine | Exotique
carrefour carrefour discount,carrefour discount,Simpl,manual_review_private_label_line,curated_private_label_mapping,curated Carrefour private-label mapping requires manual confirmation,2,France,FRANCE|SOUTHERN_EUROPE,cereals,Boules De CÉRÉALES
carrefour carrefour discount,carrefour discount,Simpl,manual_review_private_label_line,curated_private_label_mapping,curated Carrefour private-label mapping requires manual confirmation,2,France,FRANCE|SOUTHERN_EUROPE,dairies,Brie | Yaourt demi-écrémé aux fruits
carrefour carrefour extra,carrefour extra,Carrefour Extra,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,2,France,FRANCE|SOUTHERN_EUROPE,beverages,100% PUR JUS Pomme | 100% pur jus ananas origine costa rica
carrefour carrefour filiere qualite carrefour fqc,filiere qualite carrefour,Filière Qualité Carrefour,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,2,Belgium,BENELUX|FRANCE,dairies,Filière Qualité Carrefour Extra Lait Demi-Écrémé | Filière Qualité Carrefour Fromage de Herve AOP
carrefour carrefour selection,carrefour selection,Carrefour Sélection,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,2,France,FRANCE,beverages,"Eau minérale naturelle | Jus Multifruits Pomme, Litchi, Goyave"
carrefour carrefour sensation,carrefour sensation,Carrefour Sensation,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,2,France,FRANCE,snacks,CROUSTI Saveur Poulet Rôti Craquantes & Savoureuses | Crousti saveur chèvre et piment d'espelette
carrefour carrefour sensation,carrefour sensation,Carrefour Sensation,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,2,France,FRANCE|SOUTHERN_EUROPE,snacks,Galletas de barquillo de chocolate | Crok'n'go
carrefour carrefour simpl,carrefour simpl,Simpl,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,2,France,FRANCE|SOUTHERN_EUROPE,snacks,Barrita de chocolate con galleta | Barrita de galleta crujiente bañada en chocolate
carrefour classic carrefour,carrefour classic,Carrefour Classic,approve_alias,curated_private_label_mapping,curated Carrefour private-label mapping,2,France,FRANCE|SOUTHERN_EUROPE,dairies,FRUTAS pêche | Maxi petit fresa
carrefour discount carrefour,carrefour discount,Simpl,manual_review_private_label_line,curated_private_label_mapping,curated Carrefour private-label mapping requires manual confirmation,2,France,FRANCE,beverages,Préparation pour boisson instantanée au cacao maigre | Préparation pour boisson cacaotée
