review_rank,review_priority_bucket,review_priority_reason,review_suggestion,reviewer_decision,reviewer_note,barcode,product_name,brand,company,region,category,image_url,nutrition_quality_status,nutrition_quality_reason,energy_kcal_100g,energy_kcal_macro_calculated_100g,energy_kcal_macro_diff_abs,energy_kcal_macro_diff_pct,energy_kcal_macro_diff_pct_abs,protein_g_100g,carbs_g_100g,fat_g_100g,sugars_g_100g,saturated_fat_g_100g,fiber_g_100g,salt_g_100g,protein_g_per_100kcal,carbs_g_per_100kcal,fat_g_per_100kcal,include_in_product_explorer,include_in_market_overview_calculations,include_in_market_overview_charts,scenario_c2_reinclude,scenario_c2_rule,scenario_c2_proposed_treatment,scenario_c2_review_status,scenario_c2_rationale
147,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5000281005409,Lagavulin 16 ans,isle of islay,,BENELUX|FRANCE|DACH,beverages,https://images.openfoodfacts.org/images/products/500/028/100/5409/front_en.27.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,239.0,0.4,238.6,0.998326359832636,0.998326359832636,0.0,0.1,0.0,0.096,0.0,0.0,0.0,0.0,0.0418410041841004,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
158,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5449000334534,3CL CAN TUTTI FRUTTI FANTA,coca-cola,Coca-Cola,BENELUX|FRANCE|DACH,beverages,https://images.openfoodfacts.org/images/products/544/900/033/4534/front_it.20.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,33.0,0.0,33.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
159,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,8410414000466,Vodka,eristoff,,BENELUX|FRANCE|DACH,beverages,https://images.openfoodfacts.org/images/products/841/041/400/0466/front_fr.5.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,120.0,0.0,120.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
160,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,8501110086196,Rhum Cubain,havana club,,BENELUX|FRANCE|DACH,beverages,https://images.openfoodfacts.org/images/products/850/111/008/6196/front_fr.9.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,209.0,0.0,209.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
161,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5010677014205,Carta blanca,bacardi,,BENELUX|FRANCE|DACH,beverages,https://images.openfoodfacts.org/images/products/501/067/701/4205/front_fr.29.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,256.0,0.0,256.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
162,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3018300000245,Grand Marnier,marnier-lapostolle,,BENELUX|FRANCE|DACH,beverages,https://images.openfoodfacts.org/images/products/301/830/000/0245/front_fr.7.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,660.1,0.0,660.1,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
163,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5410228174073,Blonde,leffe,,BENELUX|FRANCE|DACH,beverages,https://images.openfoodfacts.org/images/products/541/022/817/4073/front_fr.3.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,660.1,0.0,660.1,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
164,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,6001108056733,Bisquit Cognac Classique,bisquit,,BENELUX|FRANCE|DACH,beverages,https://images.openfoodfacts.org/images/products/600/110/805/6733/front_fr.5.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,660.1,0.0,660.1,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
168,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5000267014203,Johnnie Walker Red Scotch whisky,johnnie walker,,BENELUX|FRANCE|DACH|SOUTHERN_EUROPE,beverages,https://images.openfoodfacts.org/images/products/500/026/701/4203/front_en.10.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,221.0,0.384,220.616,0.998262443438914,0.998262443438914,0.0,0.096,0.0,0.096,0.0,0.0,0.0,0.0,0.0434389140271493,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
174,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5010494195286,Ardbeg Ten Years Old,ardbeg,,BENELUX|FRANCE|DACH|UK_IE,beverages,https://images.openfoodfacts.org/images/products/501/049/419/5286/front_en.39.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,252.0,0.384,251.616,0.9984761904761904,0.9984761904761904,0.0,0.096,0.0,0.096,0.0,0.0,0.0,0.0,0.0380952380952381,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
177,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,7312040017683,Absolut Vodka,absolut,,BENELUX|FRANCE|DACH|UK_IE,beverages,https://images.openfoodfacts.org/images/products/731/204/001/7683/front_en.31.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,221.0,0.0,221.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
184,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5010677801553,Eristoff black 70cl - 18,eristoff,,BENELUX|FRANCE|SOUTHERN_EUROPE,beverages,https://images.openfoodfacts.org/images/products/501/067/780/1553/front_fr.6.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,40.0,0.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
187,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5010017118501,Cubanisto,ab inbev,,BENELUX|FRANCE|SOUTHERN_EUROPE|UK_IE,beverages,https://images.openfoodfacts.org/images/products/501/001/711/8501/front_fr.35.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,39.0,6.8,32.2,0.8256410256410257,0.8256410256410257,0.3,1.4,0.0,0.1,0.0,,0.01,0.7692307692307692,3.589743589743589,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
194,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5000289020602,London Dry Gin,gordon's,,BENELUX|NORDICS|FRANCE|DACH,beverages,https://images.openfoodfacts.org/images/products/500/028/902/0602/front_fr.12.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,208.0,0.4,207.6,0.9980769230769232,0.9980769230769232,0.0,0.1,0.0,,,,,0.0,0.048076923076923,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
195,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5010327000404,Grant's - Family Reserve,grant's,,BENELUX|NORDICS|FRANCE|DACH,beverages,https://images.openfoodfacts.org/images/products/501/032/700/0404/front_fr.6.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,220.0,0.4,219.6,0.9981818181818182,0.9981818181818182,0.0,0.1,0.0,0.1,,,0.0,0.0,0.0454545454545454,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
196,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5011007003005,Виски ирландский купажированный Джемесон,jameson,,BENELUX|NORDICS|FRANCE|DACH,beverages,https://images.openfoodfacts.org/images/products/501/100/700/3005/front_en.29.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,220.0,0.0,220.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
205,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5010196091008,Jim Beam - Kentucky Straight Bourbon Whiskey,jim beam,,DACH|BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/501/019/609/1008/front_en.43.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,221.0,0.0,221.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
212,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5010106113127,Ballantine's Finest,ballantine's,,DACH|BENELUX|NORDICS|FRANCE,beverages,https://images.openfoodfacts.org/images/products/501/010/611/3127/front_en.38.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,220.0,0.4,219.6,0.9981818181818182,0.9981818181818182,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0454545454545454,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
213,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,715235567418,Tiqle sticks boisson goût fraise,tiqle,,DACH|BENELUX|US_CANADA|NORDICS|FRANCE|UK_IE|SOUTHERN_EUROPE,beverages,https://images.openfoodfacts.org/images/products/071/523/556/7418/front_en.23.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,28.5714285714286,0.0,28.5714285714286,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
217,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,9003400390437,Hell,stiegl,,DACH|FRANCE,beverages,https://images.openfoodfacts.org/images/products/900/340/039/0437/front_en.3.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,37.0,9.6,27.4,0.7405405405405405,0.7405405405405405,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,6.486486486486487,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
218,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,90034077,Paracelsus Bio-Zwickl,stiegl,,DACH|FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/009/003/4077/front_fr.3.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,45.0,8.8,36.2,0.8044444444444445,0.8044444444444445,0.6,1.6,0.0,0.0,0.0,,0.01,1.3333333333333333,3.555555555555556,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
224,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5900343005296,Żubrówka Bison Grass Wódka,zubrowka,,DACH|FRANCE,beverages,https://images.openfoodfacts.org/images/products/590/034/300/5296/front_en.22.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,242.0,0.0,242.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
225,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4004866721556,,hacker pschorr,,DACH|FRANCE|UK_IE,beverages,https://images.openfoodfacts.org/images/products/400/486/672/1556/front_de.11.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,39.0,9.6,29.4,0.7538461538461538,0.7538461538461538,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,6.153846153846153,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
228,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5902573004551,"Wódka Stock Prestige 0, 5L.",stock,,DACH|SOUTHERN_EUROPE|UK_IE|US_CANADA,beverages,https://images.openfoodfacts.org/images/products/590/257/300/4551/front_de.8.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,145.2,0.0,145.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
236,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4002103248248,"Weissbier, hveteøl",erdinger,,DACH|UK_IE,beverages,https://images.openfoodfacts.org/images/products/400/210/324/8248/front_en.23.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,44.0,8.9,35.1,0.7977272727272727,0.7977272727272727,0.6,0.5,0.5,0.5,0.1,,,1.3636363636363635,1.1363636363636365,1.1363636363636365,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
249,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,8413681305746,Alhambra Reserva,alhambra,,DACH|UK_IE,beverages,https://images.openfoodfacts.org/images/products/841/368/130/5746/front_en.6.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,63.0,0.0,63.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
250,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,8850999111001,Singha - The original Thai Beer,singha,,DACH|UK_IE,beverages,https://images.openfoodfacts.org/images/products/885/099/911/1001/front_en.7.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,660.1,0.0,660.1,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
265,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,721733000029,Silver tequila,unknown,,DACH|US_CANADA,beverages,https://images.openfoodfacts.org/images/products/072/173/300/0029/front_en.3.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,660.1,0.0,660.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
1795,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4106060049594,Jus de citron vert,beutelsbacher,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/410/606/004/9594/front_fr.3.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,30.0,9.3,20.7,0.69,0.69,0.4,1.7,0.1,1.7,0.01,4.3,0.03,1.3333333333333337,5.666666666666666,0.3333333333333333,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
1799,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5410499641656,Limonade Citron,villers (saint amand),,FRANCE,beverages,https://images.openfoodfacts.org/images/products/541/049/964/1656/front_fr.20.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,32.0,9.7,22.3,0.696875,0.696875,0.5,0.8,0.5,0.8,0.5,0.0,3.0,1.5625,2.5,1.5625,True,False,False,False,,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by guarded Scenario C2 re-inclusion rules; remains excluded by default pending review.
