region,category,metric,tail_band,tail_direction,record_count,median_metric_value_in_band,min_metric_value_in_band,max_metric_value_in_band,top_product_name_tokens,top_brands,top_off_categories,top_product_examples,suggested_pattern_label,,
BENELUX,beverages,carbs_g_per_100kcal,P1-P5,bottom,64,0,0,0,zero (16) | coca (15) | cola (15) | citron (7) | sugar (6) | lemon (6) | vert (5) | thé (4) | max (3) | fusion (3),coca-cola (17) | la fourche (5) | sprite (4) | chaudfontaine (3) | schweppes (3) | provamel (3) | pepsi (2) | badoit (2),Boissons (31) | Sodas (22) | Beverages (20) | Boissons gazeuses (15) | Boissons édulcorées (14) | Sodas light (11) | Carbonated drinks (10) | Boissons light (9),50414369: Teisseire max goût citron et citron vert (0) | 5449000214799: Coke Zero (0) | 5449000218353: Fusion Goût Framboise & Citron vert (0) | 5410013187509: Orange Cardamom (0) | 5410013185000: spa touch raspberry apple (0) | 5410188033885: Seven up Mojito free sugar (0) | 5449000201935: Coca-Cola Zero Zero (0) | 5449000131836: Coca-Cola Zero 500ml черная крышка (0),normal_category_tail,,
BENELUX,beverages,carbs_g_per_100kcal,P5-P10,bottom,81,0,0,1.623,coco (11) | lait (10) | zero (7) | coca (6) | cola (6) | thé (6) | infusion (5) | sachets (5) | pukka (5) | perrier (5),coca-cola (8) | pukka (7) | ayam (7) | perrier (6) | pepsi (4) | frami (2) | carrefour (2) | delhaize (2),Boissons (43) | Aliments et boissons à base de végétaux (28) | Boissons à base de végétaux (25) | Beverages (16) | Boissons chaudes (15) | Aliments d'origine végétale (15) | Sodas (11) | Substituts de produits laitiers (11),4029764001906: Club-Mate Zero (0) | 4060800145697: Pepsi Max Cool Lemon (0) | 5449000285980: nan (0) | 4056489695332: Lait d'amande (0) | 5601256811263: nan (0) | 4060800104045: Pepsi Max (0) | 5601256811317: Azeitonas verdes (0) | 7290002793274: Orange light Sodastream (0),likely_category_scope_noise,,
BENELUX,beverages,carbs_g_per_100kcal,P80-P90,top,162,24.7744,24.4898,25,sirop (30) | grenadine (19) | tea (11) | fruits (10) | ice (9) | ginger (9) | drink (9) | jus (8) | green (7) | pomme (7),carrefour (13) | teisseire (11) | coca-cola (7) | lipton (7) | delhaize (6) | fever-tree (5) | unknown (4) | dr pepper (4),Boissons (105) | Boissons avec sucre ajouté (57) | Aliments et boissons à base de végétaux (36) | Boissons à base de végétaux (35) | Beverages (34) | Sodas (34) | Sirops (29) | Sirops aromatisés (29),"5410046190804: Citrons Pressés (25) | 3124480185174: Thé infusé glacé, Thé noir parfum pêche blanche (25) | 5038862132305: Apple, pear, cucumber, matcha (25) | 5034525010119: Thé vert aronia et myrtille (25) | 5038862136792: watermelon, raspberry, apple & lime (25) | 3092713005196: Mega Grenadine (25) | 5013665112136: Whole Earth - Sparkling Apple Drink (25) | 3092712205030: Sirop Menthe Verte (25)",normal_category_tail,,
BENELUX,beverages,carbs_g_per_100kcal,P90-P95,top,81,25,25,25.2381,jus (12) | cola (10) | pomme (9) | sirop (8) | grenadine (7) | drink (7) | coca (7) | orange (6) | carrefour (6) | market (6),coca-cola (10) | carrefour (7) | delhaize (6) | spa (6) | boni (5) | teisseire (4) | unknown (3) | tropical (2),Boissons (47) | Sodas (22) | Boissons avec sucre ajouté (21) | Beverages (20) | Aliments et boissons à base de végétaux (16) | Boissons à base de végétaux (16) | Boissons aux fruits (15) | Boissons gazeuses (13),54492509: Cocacola original taste (25.2) | 5449000034229: Coca Cola Mini (25.2) | 5449000015150: Coca Cola (25.2) | 54491014: Cocacola mini original taste (25.2) | 5449000054227: Cocacola original 500 (25.2) | 5740700988349: Coca-Cola (25.2) | 5449000214911: Coca-Cola (25.2) | 5000112523157: Coca-Cola (25.2),normal_category_tail,,
BENELUX,beverages,carbs_g_per_100kcal,P95-P99,top,64,25.3709,25.2381,25.5814,kombucha (13) | cola (12) | coca (10) | ginger (5) | taste (4) | mango (4) | citron (4) | fruit (3) | passion (3) | pomme (3),coca-cola (13) | kazidomi (5) | spa (4) | unknown (3) | pepsi (3) | yugen (2) | river (2) | monster energy (2),Boissons (39) | Sodas (17) | Boissons gazeuses (15) | Beverages (15) | Kombuchas (13) | Produits fermentés (12) | Boissons fermentées (12) | Boissons au thé (12),27003244: Cola River (25.6) | 26001012: Jus de Pomme à base de concentré (25.6) | 90153419: Napoj Twist & Drink 200ML Wisnia Aspen (25.6) | 5022019160310: Organic Ginger Beer (25.6) | 5410188033595: Pepsi (25.6) | 6000000000002: Kombucha Griottes & Menthe Bio (25.6) | 5419980010780: Poire + Immortelle (25.6) | 5411087002187: Kombucha citron & gingembre (25.6),normal_category_tail,,
BENELUX,beverages,carbs_g_per_100kcal,P99-P100,top,17,26,25.625,27,tea (4) | sirop (2) | iced (2) | thé (2) | honey (2) | jus (2) | aloé (2) | vera (2) | nalu (2) | green (2),arizona (4) | naturaloe (2) | nalu (2) | monster (2) | sodastream (1) | teisseire (1) | four roses (1) | yagua (1),Boissons (11) | Boissons gazeuses (4) | Sodas (4) | Boissons avec sucre ajouté (4) | Aliments et boissons à base de végétaux (4) | Boissons à base de végétaux (4) | Boissons édulcorées (3) | Getränke (3),5060517883508: Monster rehab (27) | 5060166696528: Rehab - Thé + Citronnade + Energy non Gazeux (27) | 5060896625577: Lewis Hamilton (26.7) | 3274490971189: Sirop Agave Neutre (26.5) | 613008736194: Original Green tea with honey (26.3) | 613008730734: Originale tè verde con miele (26.3) | 5400111390109: Iced Tea Green Bio (26.2) | 3760101450001: Jus d'Aloé Vera BIO (26),needs_manual_review,,
BENELUX,beverages,energy_kcal_100g,P0-P1,bottom,19,0,0,0,eau (5) | pétillante (4) | water (3) | tea (3) | chaudfontaine (3) | minérale (3) | naturelle (3) | still (2) | glas (2) | lemon (2),chaudfontaine (4) | clipper (3) | saskia (2) | nestle (2) | carrefour (2) | lipton (1) | english tea shop (1) | unknown (1),Boissons (9) | Beverages (8) | Waters (7) | Spring waters (5) | Eaux (5) | Beverages and beverages preparations (4) | Boissons et préparations de boissons (4) | Boissons gazeuses (4),20022969: Natural mineral water (0) | 17001233: Eau pure life (0) | 8711200373505: Infusion bio citron gingembre (0) | 680275029151: Green tea (0) | 5449000113351: Chaudfontaine Still (Blauw) Glas (0) | 5449000111715: Eau Minérale Naturelle Pétillante (0) | 20800338: Eau pétillante (0) | 87333824: Sport Water lemon (0),likely_genuine_outlier_cluster,,
BENELUX,beverages,energy_kcal_100g,P10-P20,bottom,186,1,0,4,zero (47) | cola (32) | coca (29) | thé (20) | citron (10) | vert (10) | sugar (10) | eau (9) | zéro (9) | lemon (8),coca-cola (33) | perrier (9) | schweppes (9) | fanta (7) | sprite (7) | pepsi (7) | twinings (7) | carrefour (6),Boissons (102) | Sodas (62) | Beverages (50) | Boissons gazeuses (44) | Boissons édulcorées (41) | Aliments et boissons à base de végétaux (40) | Boissons à base de végétaux (32) | Boissons chaudes (31),8445291061132: HEPAR (0) | 8445291038127: Forever Citron Vert (0) | 8437017623014: Glaçons 1kg / (0) | 7613035833289: Eau minérale naturelle gazeuse (0) | 7613035833272: Perrier (0) | 7613035052840: Perrier Agrumes (0) | 4056489105565: Eau minérale naturelle (0) | 20656935: Pétillante saveur citron (0),normal_category_tail,,
BENELUX,beverages,energy_kcal_100g,P1-P5,bottom,74,0,0,0,eau (28) | naturelle (13) | minérale (11) | source (9) | citron (6) | vert (6) | pet (5) | spa (5) | minerale (4) | cristaline (4),carrefour (6) | spa (5) | nestle (4) | coca-cola (4) | cristaline (4) | volvic (4) | vittel (3) | hepar (3),Boissons (44) | Eaux (34) | Eaux de sources (28) | Eaux minérales (26) | Beverages (18) | Waters (18) | Boissons gazeuses (16) | Boissons sans sucre ajouté (16),8002270014901: S. Pellegrino Water (0) | 8002270015328: Eau minérale naturelle gazeuse 50cl PET (0) | 8002270015786: Eau gazeuse (0) | 90343377: Chaudfontaine (0) | 90343643: Eau minerale naturelle (0) | 8002270044892: eau minérale naturelle gazeuse (0) | 5449000050212: Coca light 1.5l (0) | 5449000228123: Coca cola light (0),likely_genuine_outlier_cluster,,
BENELUX,beverages,energy_kcal_100g,P5-P10,bottom,93,0,0,0,eau (34) | minérale (14) | naturelle (13) | source (9) | spa (8) | evian (7) | pétillante (6) | perrier (4) | citron (4) | pet (4),spa (12) | evian (10) | perrier (5) | chaudfontaine (5) | vittel (5) | badoit (4) | carrefour (4) | nespresso (4),Boissons (56) | Eaux (44) | Eaux de sources (34) | Eaux minérales (32) | Beverages (21) | Eaux minérales naturelles (20) | Boissons sans sucre ajouté (19) | Waters (18),"3179732368911: Perrier saveur citron (0) | 3179732348913: Perrier (0) | 3068320019314: Evian 33cl PET Sportcap (0) | 3068320124537: EVIAN Eau Minérale (0) | 3068320124827: eau minerale naturelle (0) | 8718906090637: Water met Gember en Citroenmelisse (0) | 3068320120256: Eau minérale naturelle (0) | 3068320109794: Eau pétillante aromatisée citron, les 6 bouteilles de 50 (0)",likely_genuine_outlier_cluster,,
BENELUX,beverages,energy_kcal_100g,P80-P90,top,186,58,49,87,smoothie (26) | jus (17) | pomme (11) | super (9) | latte (9) | drink (8) | nesquik (8) | mango (7) | soya (7) | banane (6),delhaize (17) | alpro (13) | innocent (11) | nestle (9) | carrefour (9) | albert heijn (6) | emmi (5) | granini (4),Boissons (103) | Aliments et boissons à base de végétaux (61) | Boissons à base de végétaux (55) | Beverages (45) | Boissons aux fruits (27) | Plant-based foods and beverages (24) | Smoothies (23) | Boissons et préparations de boissons (22),5400113505525: Sirop de pamplemousse (87) | 27097823: Chocolat à boire (en poudre) (87) | 3279236602013: La fermière à boire! Mangue Mandarine (87) | 5000299101100: Kentucky Straight Bourbon Whiskey (85.9) | 5412858000081: Trappistes Rochefort 8 (84) | 8055965651363: Neropasso (84) | 54051157: Chocolate (83) | 3264950333336: Petit déjeuner chocolaté (82),normal_category_tail,,
BENELUX,beverages,energy_kcal_100g,P90-P95,top,93,206,88,322,sirop (21) | coco (18) | lait (15) | coconut (12) | milk (11) | menthe (6) | grenadine (5) | pomme (3) | violette (3) | cuisine (2),carrefour (10) | delhaize (8) | ayam (7) | bellarom (4) | monin (3) | yfood (2) | unknown (2) | kazidomi (2),Boissons (49) | Beverages (22) | Aliments et boissons à base de végétaux (21) | Aliments d'origine végétale (20) | Sirops (19) | Sirops aromatisés (19) | Boissons à base de végétaux (18) | Substituts de produits laitiers (17),20920210: Chicorée Café (322) | 5400113544890: Sirop de violette bio (320) | 3092718611125: Sirop Citron Vert (316) | 3052911236518: Le Sirop de Monin : Orgeat (315) | 3560070894222: Sirop cerise (313) | 3092712205030: Sirop Menthe Verte (312) | 3035542004206: Cointreau (311) | 8710400555049: Vruch­ten­li­mo­na­desiroop Fram­bo­os (310),likely_category_scope_noise,,
BENELUX,beverages,energy_kcal_100g,P95-P99,top,74,376,323,396.6,sirop (14) | grenadine (12) | espresso (8) | starbucks (8) | nespresso (8) | capsules (8) | nesquik (5) | vodka (4) | roast (4) | café (4),nestle (9) | teisseire (8) | starbucks (7) | carrefour (6) | delhaize (2) | vodka templar (2) | pressade (2) | hotcemel (2),Boissons (53) | Aliments et boissons à base de végétaux (21) | Boissons chaudes (20) | Cafés (19) | Aliments d'origine végétale (19) | Dosettes (18) | Boissons et préparations de boissons (17) | Cafés en dosettes (17),"20951122: Ristretto Espresso (397) | 7613032584573: Dolce Gusto café pur arabica, grande aroma (397) | 8003753158587: Illy forte (397) | 7630047677748: Café ispirazione venezia (397) | 8711000547342: capsule espresso ristretto (397) | 8445291565036: STARBUCKS By NESPRESSO Espresso Roast Décaféiné 10 capsules (397) | 8000070012783: Qualità Oro (397) | 8445291364394: STARBUCKS By NESPRESSO Espresso Roast X18 (397)",normal_category_tail,,
BENELUX,beverages,energy_kcal_100g,P99-P100,top,19,443,396.6,703,cappuccino (3) | caramel (3) | latte (3) | nescafe (2) | dolce (2) | gusto (2) | macchiato (2) | capsules (2) | café (2) | coconut (2),nestle (2) | nescafe (2) | carrefour (1) | nespresso (1) | ethiquable (1) | terrasana (1) | bellarom (1) | starbucks (1),Boissons (12) | Aliments et boissons à base de végétaux (8) | Aliments d'origine végétale (8) | Cafés (8) | Boissons chaudes (5) | Dosettes (5) | Cafés en dosettes (5) | Boissons instantanées (5),8717496906700: Creamed coconut (703) | 9556041130257: Premium Coconut Milk Powder (683) | 8003753918242: Café espresso en dosettes (555) | 5413676681162: Cholocats Neuhaus (518) | 5400114569052: Crunchy Muesli (462) | 7613034365774: CAFÉ CON LECHE (459) | 5410056186941: Soupe Royco Suprême De Tomates Avec Croûtons 20 Unités (454) | 5414145001481: Spicy Chai Latte (452),likely_category_scope_noise,,
BENELUX,beverages,fat_g_100g,P0-P1,bottom,19,0,0,0,green (6) | tea (6) | coconut (3) | water (3) | pomegranate (3) | pineapple (2) | fruit (2) | honey (2) | arizona (2) | rote (1),arizona (10) | vita coco (2) | hollinger (1) | minute maid (1) | all market inc. (1) | freezmix (1) | english tea shop (1) | bundaberg (1),Boissons (8) | Plant-based foods and beverages (8) | Beverages (8) | Plant-based beverages (8) | Aliments et boissons à base de végétaux (6) | Boissons à base de végétaux (6) | Boissons avec sucre ajouté (6) | Boissons aux fruits (4),9120008990361: Rote Traube mit stillem Wasser (0) | 90494031: Minute Maid Pomme (0) | 898999000206: Coconut Water With Pineapple (0) | 898999000022: Coconut Water (0) | 762571500043: Freez Citron Gingembre (0) | 680275029151: Green tea (0) | 613008742379: Pomegranate green tea (0) | 613008739119: Strawberry Lemonade with Fruit Juice & Honey (0),likely_genuine_outlier_cluster,,
BENELUX,beverages,fat_g_100g,P10-P20,bottom,181,0,0,0,eau (20) | schweppes (19) | zero (17) | sirop (15) | oasis (13) | tea (12) | thé (12) | citron (10) | tonic (10) | source (10),schweppes (21) | teisseire (17) | oasis (17) | may tea (11) | orangina (8) | perrier (7) | cristaline (7) | lipton (6),Boissons (132) | Boissons avec sucre ajouté (63) | Aliments et boissons à base de végétaux (52) | Boissons à base de végétaux (51) | Sodas (49) | Boissons gazeuses (44) | Boissons aux fruits (40) | Beverages (36),5449000120977: Fanta Zero (0) | 3080216055893: Carlsberg 0.0% pils blik (0) | 5449000120960: Fanta zero sugar (0) | 8722700089179: Kamille Te Pyramide 20pos Lipton (0) | 8722700089148: Herbal Infusion Rosehip (0) | 8722700089131: Herbal infusion Mint (0) | 8722700055525: green tea (0) | 8722700004332: Infusion-Herbal Morocco (0),normal_category_tail,,
BENELUX,beverages,fat_g_100g,P1-P5,bottom,72,0,0,0,cola (9) | orange (8) | coca (7) | tea (6) | citron (4) | zero (4) | light (4) | minute (4) | maid (4) | fanta (4),coca-cola (12) | fanta (6) | minute maid (5) | river (5) | chaudfontaine (4) | freeway (4) | red bull (4) | arizona (3),Boissons (44) | Sodas (27) | Aliments et boissons à base de végétaux (20) | Boissons à base de végétaux (20) | Boissons gazeuses (19) | Boissons avec sucre ajouté (18) | Beverages (17) | Boissons aux fruits (12),613008730734: Originale tè verde con miele (0) | 613008730710: PET 50CL PEACH TEA ARIZONA (0) | 613008730697: Iced tea lemon flavor (0) | 5449000033819: Aquarius Naranja (0) | 74601176167: Limonade Japonaise Ramune Goût Framboise (0) | 96190432: Original Indian Tonic Water (0) | 735346: Thé Earl Grey Empress (0) | 70177118563: Infusion au citron et au gingembre et aux herbes (0),normal_category_tail,,
BENELUX,beverages,fat_g_100g,P5-P10,bottom,90,0,0,0,eau (17) | drink (11) | sirop (9) | evian (9) | minérale (8) | naturelle (8) | red (7) | citron (7) | bull (6) | badoit (6),evian (11) | badoit (9) | red bull (7) | volvic (5) | tropicana (4) | monin (4) | teisseire (4) | minute maid (3),Boissons (52) | Eaux (24) | Beverages (21) | Eaux minérales (19) | Eaux de sources (17) | Boissons gazeuses (13) | Eaux minérales naturelles (13) | Boissons sans sucre ajouté (13),"90338915: Multivitamines (0) | 90331060: Coca Cola Light Limon (0) | 90162909: Energy Drink (0) | 90162800: Red bull sugar free (0) | 90153433: Twist An drink (0) | 9002490211028: Red Bull Energy Cans 47,3CL (0) | 9002490206482: Red Bull 355 ml (0) | 9002490205973: 25 cl Red Bull - Energy Drink (0)",normal_category_tail,,
BENELUX,beverages,fat_g_100g,P80-P90,top,181,0.9,0.5,1.7,carrefour (17) | pomme (13) | jus (13) | latte (13) | ice (11) | amande (11) | smoothie (10) | caffè (9) | alpro (9) | boisson (9),carrefour (27) | alpro (23) | delhaize (22) | nescafe (12) | lipton (11) | volvic (6) | innocent (5) | emmi (5),Boissons (104) | Aliments et boissons à base de végétaux (77) | Boissons à base de végétaux (57) | Beverages (40) | Aliments d'origine végétale (40) | Plant-based foods and beverages (28) | Beverages and beverages preparations (23) | Boissons et préparations de boissons (23),"5411188121770: Alpro Sojadrink, Vanille-Geschmack 250ml (1.7) | 3760324841006: Boisson Amande Légère Bio (1.7) | 5425000191025: Original Boisson végétale de noix (1.7) | 4056489695363: Soya Unsweetened plant based (1.7) | 5411188122029: Soyadrink Banaan (1.7) | 7613036942683: STARBUCKS by NESCAFE DOLCE GUSTO Latte Macchiato 129g (1.7) | 7613035083646: NESCAFE Cappucino intenso (1.7) | 7613036306294: Cappuccino (1.6)",likely_category_scope_noise,,
BENELUX,beverages,fat_g_100g,P90-P95,top,90,2.1,1.7,4,soya (10) | nesquik (10) | soja (9) | drink (8) | alpro (7) | amande (6) | sojadrink (6) | poudre (5) | boisson (5) | lait (4),alpro (15) | nestle (11) | provamel (9) | ecomil (5) | carrefour (4) | milbona (2) | delhaize (2) | moreno (2),Boissons (55) | Aliments et boissons à base de végétaux (36) | Boissons à base de végétaux (31) | Aliments d'origine végétale (29) | Substituts de produits laitiers (27) | Substituts du lait (27) | Boissons végétales (27) | Boissons et préparations de boissons (18),5450168551534: Shaker Latte Macchiato (4) | 5400119513319: Smoothie cold pressed (3.9) | 5400101166431: Carrefour Classic' Soupe Velouté de Tomates à la Crème (3.7) | 8711200346011: Soja (3.7) | 7612100054963: Ovomaltine (3.6) | 7612100801307: Caotina Original (3.5) | 8711200346073: Baunilha soja (3.5) | 4056489009979: Goody cao (3.5),likely_category_scope_noise,,
